pl_name,gaia_id,default_flag,sy_snum,sy_pnum,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
HAT-P-21 b,Gaia DR2 770622651659107712,1,1,1,HATNet,0,4.12448,0.000007,-0.000007,,,,12.442,1.793,-1.793,,,,0.23,0.02,-0.02,87.2,0.7,-0.7,0,,,,0.9,0.042,-0.042,,,,548.3,14.2,-14.2,171.2749348,41.0280207
HAT-P-23 b,Gaia DR2 1808938730710633984,1,1,1,HATNet,0,1.212884,0.000002,-0.000002,0.0232,0.0002,-0.0002,15.334,1.009,-1.009,,,,0.106,0.044,-0.044,85.1,1.5,-1.5,0,0.324,0.07,-0.101,1.0536,,,118,25,-25,368.5,17.6,-17.6,306.1239076,16.7621462
HAT-P-25 b,Gaia DR2 111322601672419712,1,1,1,HATNet,0,3.65281514,0.00000076,-0.00000075,0.0466,0.00081,-0.0008,12.722,0.538,-0.538,180.84527,7.31009,-6.99226,0.023,0.022,-0.014,88.22,0.45,-0.36,0,0.347,0.061,-0.082,0.0161,0.00027,-0.00027,287,52,-17,74.5,1.4,-1.4,48.4354731,25.1973548
HAT-P-26 b,Gaia DR2 3668036348641580288,1,1,1,HATNet,0,4.23452,0.000015,-0.000015,,,,7.062,0.448,-0.448,,,,0.12,0.06,-0.06,88.6,0.7,-0.7,0,,,,0.54,0.0013,-0.0013,,,,8.5,1,-1,213.1565508,4.0594175
HAT-P-28 b,Gaia DR2 363702817083391232,1,1,1,HATNet,0,3.257215,0.000007,-0.000007,0.0434,0.0007,-0.0007,13.585,1.267,-0.919,,,,0.051,0.033,-0.033,88,0.9,-0.9,0,0.299,0.114,-0.123,1.4719,,,233,90,-90,84.7,4.2,-4.2,13.0009159,34.728402
HAT-P-31 b,Gaia DR2 4583004815239650176,1,1,1,HATNet,0,5.00542,0.000091,-0.000091,,,,12.218,1.681,-1.681,,,,0.25,0,0,87.1,2.25,-2.25,0,,,,0.65,0.15,-0.15,,,,232.5,1.1,-1.1,271.5376722,26.4266061
HAT-P-37 b,Gaia DR2 2133946843094378752,1,1,1,HATNet,0,2.797436,0.000007,-0.000007,0.0379,0.0006,-0.0006,13.204,0.863,-0.863,,,,0.058,0.038,-0.038,86.9,0.4,-0.5,0,0.505,0.041,-0.062,1.899,0.084,-0.082,164,84,-84,177.7,14.8,-14.8,284.2960393,51.2691212
HAT-P-40 b,Gaia DR2 1962153854973972096,1,1,1,HATNet,0,4.45724,0.00001,-0.00001,,,,17.038,1.906,-1.906,,,,0,,,88.3,0.9,-0.9,0,,,,0.65,0.023,-0.023,,,,58.1,2.9,-2.9,335.5129199,45.4573423
HAT-P-49 b,Gaia DR2 1835842749465226368,1,1,1,HATNet,0,2.69155,0.000006,-0.000006,,,,17.822,2.018,-2.018,,,,0,,,86.2,1.7,-1.7,0,,,,0.63,0.03,-0.03,,,,188.7,21.9,-21.9,305.4413294,26.6926759
HAT-P-5 b,Gaia DR2 4606030169272920320,1,1,1,HATNet,0,2.78849,0.000025,-0.000025,,,,13.563,1.121,-1.121,,,,0,,,86.75,0.44,-0.44,0,,,,1.2,0.013,-0.013,,,,138,14,-14,274.4055335,36.6214617
HAT-P-56 b,Gaia DR2 3385777286999240576,1,1,1,HATNet,0,2.79083,0.000005,-0.000005,,,,16.926,1.233,-1.233,,,,,,,82.13,0.18,-0.18,0,,,,1.1,0.0001,-0.0001,,,,262,30,-30,100.8480137,27.2521823
