KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K01598.01,KOI-1598,Kepler-310 c,Gaia DR3 2127798442794047104       ,56.476167,0.000019,0.0300511,0.0006912,0.035741,0.000685,0.004381,0,0,0
K01598.02,KOI-1598,Kepler-310 d,Gaia DR3 2127798442794047104       ,92.875035,0.00002,0.0232015,0.0007445,0.025516,0.002786,0.002718,0,0,0
K01598.03,KOI-1598,Kepler-310 b,Gaia DR3 2127798442794047104       ,13.930726,0.000018,0.0132558,0.0010116,0.012991,0.000365,0.000883,0,0,0
K01621.01,KOI-1621,Kepler-911 b,Gaia DR3 2073804411752924288       ,20.310505,0.00002,0.0122736,0.0006823,0.01188,0.000303,0.000159,0.011586464,0.001024693,0.000464142
K01692.01,KOI-1692,Kepler-314 c,Gaia DR3 2077540827141811200       ,5.960402,0.000005,0.0267866,0.0003383,0.028909,0.000131,0.002626,0,0,0
K01781.02,KOI-1781,Kepler-411 A b,Gaia DR3 2132768956905956352       ,3.005159,0.000002,0.0252326,0.0003785,0.023155,0.000724,0.000184,0,0,0
K01805.01,KOI-1805,Kepler-319 c,Gaia DR3 2101230049979183232       ,6.941362,0.000005,0.0309433,0.000589,0.02677,0.000728,0.000243,0,0,0
K01805.02,KOI-1805,Kepler-319 d,Gaia DR3 2101230049979183232       ,31.782112,0.000018,0.023613,0.0005929,0.023415,0.000178,0.000985,0,0,0
K01805.03,KOI-1805,Kepler-319 b,Gaia DR3 2101230049979183232       ,4.36275,0.000004,0.0174442,0.0003883,0.016628,0.000397,0.000214,0,0,0
K01832.01,KOI-1832,Kepler-325 b,Gaia DR3 2133021810218800384       ,4.544438,0.000005,0.0308119,0.0008215,0.027448,0.000761,0.000318,0,0,0
K01832.02,KOI-1832,Kepler-325 c,Gaia DR3 2133021810218800384       ,12.762276,0.000017,0.0290377,0.0020911,0.0311,0.001046,0.00659,0,0,0
K01832.03,KOI-1832,Kepler-325 d,Gaia DR3 2133021810218800384       ,38.714683,0.00002,0.0283083,0.001744,0.028052,0.004525,0.001083,0,0,0
K01835.01,KOI-1835,Kepler-326 c,Gaia DR3 2128098197152438144       ,4.580345,0.000004,0.025928,0.0007142,0.016019,0.000538,0.000228,0,0,0
K01835.02,KOI-1835,Kepler-326 b,Gaia DR3 2128098197152438144       ,2.24829,0.000002,0.0229256,0.0005086,0.014652,0.000463,0.000261,0,0,0
K01835.03,KOI-1835,Kepler-326 d,Gaia DR3 2128098197152438144       ,6.766902,0.000007,0.0242354,0.0010967,0.013944,0.000702,0.000244,0,0,0
K01858.02,KOI-1858,KOI-1858.02,Gaia DR3 2126878048483137152       ,86.049055,0.00002,0.0109801,0.0071386,0.018911,0.000715,0.000986,0,0,0
K01860.01,KOI-1860,Kepler-416 b,Gaia DR3 2052975370856687744       ,6.319431,0.000006,0.0218313,0.0005154,0.022347,0.000495,0.000285,0,0,0
K01860.02,KOI-1860,Kepler-416 c,Gaia DR3 2052975370856687744       ,12.209458,0.000015,0.0215702,0.0006465,0.021653,0.000599,0.000324,0,0,0
K01860.03,KOI-1860,KOI-1860.03,Gaia DR3 2052975370856687744       ,3.076446,0.000006,0.0140681,0.000563,0.014335,4.20E-05,0.000751,0,0,0
K01860.04,KOI-1860,KOI-1860.04,Gaia DR3 2052975370856687744       ,24.843512,0.00002,0.0138319,0.0015157,0.012518,0.000362,0.001043,0,0,0
K01883.01,KOI-1883,Kepler-997 b,Gaia DR3 2132709613336959744       ,2.707311,0.000004,0.0073531,0.0002562,0.00791,0.00022,0.000103,0.00807141,0.000238637,0.000229436
K01909.01,KOI-1909,Kepler-334 c,Gaia DR3 2130661880308812800       ,12.758027,0.00001,0.0129659,0.0002814,0.012595,0.000395,0.000141,0,0,0
K01909.02,KOI-1909,Kepler-334 b,Gaia DR3 2130661880308812800       ,5.470338,0.000007,0.009776,0.0002957,0.009413,0.000342,0.000153,0,0,0
K01909.03,KOI-1909,Kepler-334 d,Gaia DR3 2130661880308812800       ,25.098518,0.000019,0.0139955,0.000594,0.012767,0.000227,0.000522,0,0,0
K01929.01,KOI-1929,Kepler-337 c,Gaia DR3 2127851116271982848       ,9.693154,0.000011,0.0113433,0.0002694,0.011413,0.001423,0.000565,0,0,0
K01929.02,KOI-1929,Kepler-337 b,Gaia DR3 2127851116271982848       ,3.292765,0.000005,0.0085607,0.0002336,0.008382,0.000192,0.000204,0,0,0
K01930.01,KOI-1930,Kepler-338 b,Gaia DR3 2104344141784539264       ,13.727074,0.000023,0.012609,0.0003133,0.013025,0.000342,0.000203,0.01362525,0.00019715,0.000290067
K01930.02,KOI-1930,Kepler-338 c,Gaia DR3 2104344141784539264       ,24.311147,0.00002,0.011522,0.0003317,0.012518,0.000374,0.000224,0.013112198,0.000194923,0.000353649
K01930.03,KOI-1930,Kepler-338 d,Gaia DR3 2104344141784539264       ,44.430136,0.00002,0.0138357,0.0003447,0.014775,0.002249,0.000911,0.014015585,0.000234993,0.000440641
K01930.04,KOI-1930,Kepler-338 e,Gaia DR3 2104344141784539264       ,9.341436,0.000015,0.0081421,0.0003276,0.009273,0.001649,0.001113,0.008378312,0.00033007,0.000184589
K01931.01,KOI-1931,Kepler-339 b,Gaia DR3 2128911251641171200       ,4.977614,0.000007,0.0148656,0.0007035,0.016512,0.003795,0.000927,0,0,0
K01931.02,KOI-1931,Kepler-339 d,Gaia DR3 2128911251641171200       ,10.558388,0.000017,0.0129565,0.0007471,0.013167,0.000537,0.000441,0,0,0
K01931.03,KOI-1931,Kepler-339 c,Gaia DR3 2128911251641171200       ,6.988047,0.000014,0.011859,0.0006971,0.013364,0.000579,0.000341,0,0,0
K01944.01,KOI-1944,KOI-1944.01,Gaia DR3 2051104586182508928       ,12.184169,0.000012,0.0223455,0.0008047,0.021149,0.000429,0.000694,0,0,0
K01952.01,KOI-1952,Kepler-341 c,Gaia DR3 2102815683186036096       ,8.010394,0.000016,0.0156541,0.0007419,0.015753,0.000538,0.00028,0,0,0
K01952.02,KOI-1952,Kepler-341 d,Gaia DR3 2102815683186036096       ,27.666593,0.000019,0.0164219,0.0009224,0.017867,0.004216,0.000954,0,0,0
