source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,phot_variable_flag,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2119710538336363904,282.37056747234396,0.034826696144163366,48.25923404921331,0.03420374209924549,1.398052226219916,0.03621679918012169,16.318968,1.5372019,,,0,"NOT_AVAILABLE",4273.333,4189.605,4435.5825,0.471,0.7317109,0.67915934,0.7612492,0.16085728,0.15116514,0.17054941,"Gaia DR2 2119710538336363904",282.37056747234396,48.25923404921331,1.3981,10.0948,-7.3641,0.0,2015.5,0.0
2132144056342471168,285.5743031636986,0.02491122059869407,49.96212180658739,0.041250634481170126,3.090904522154682,0.03525275398166194,15.263928,1.8763199,,,0,"NOT_AVAILABLE",3778.3333,3729.0,3899.5,1.17,0.8026912,0.7535832,0.82407033,0.118302196,0.11514554,0.12145885,"Gaia DR2 2132144056342471168",285.5743031636986,49.96212180658739,3.0909,-7.05,-38.5527,0.0,2015.5,7.105427357601002E-15
2130124219123552256,291.65945575269853,0.027834578514886632,50.58385845061716,0.03266661429780385,1.2596173930431818,0.032318110206505386,15.773307,1.2439165,,,0,"NOT_AVAILABLE",5052.93,4826.34,5173.5,0.2283,0.65422654,0.624088,0.7170987,0.2513762,0.23599753,0.2667549,"Gaia DR2 2130124219123552256",291.65945575269853,50.58385845061716,1.2596,-5.651,-5.5225,0.0,2015.5,0.0
2105538623730974848,286.4100307166823,0.028402446405532585,42.68151367209576,0.027783444196631063,1.411326547874011,0.02926317086648968,15.56481,1.1977406,,,0,"NOT_AVAILABLE",5049.5,4879.3364,5777.0,0.13,0.6438408,0.49189284,0.68953085,0.24279805,0.23050778,0.2550883,"Gaia DR2 2105538623730974848",286.4100307166823,42.68151367209576,1.4113,5.1577,-5.248,0.0,2015.5,7.105427357601002E-15
2131748747552136960,283.2091605131118,0.01551264070448449,48.77761557372092,0.016016835808312216,1.4160108181853908,0.016555926479987503,14.192218,0.8526802,,,0,"NOT_AVAILABLE",5758.3335,5703.0,5802.5,0.015,0.8886557,0.875179,0.9059838,0.7822563,0.7563815,0.8081311,"Gaia DR2 2131748747552136960",283.2091605131118,48.77761557372092,1.416,2.1601,-1.2331,0.0,2015.5,0.0
2128013019361703936,294.0230228996888,0.01988763636210198,45.853053501009136,0.021536415778890962,0.5722192962172437,0.023029129273249172,15.22401,0.790926,,,0,"NOT_AVAILABLE",5841.6665,5770.25,6278.495,0.315,1.3253715,1.1473608,1.3583819,1.8429646,1.649824,2.0361052,"Gaia DR2 2128013019361703936",294.0230228996888,45.853053501009136,0.5722,-1.0166,-7.3444,0.0,2015.5,0.0
2119534646538533888,282.0612730600966,0.01612187327105527,47.08549844163537,0.015219133284620589,1.2554530006945857,0.01508577717002442,13.753656,0.7924433,,,0,"NOT_AVAILABLE",5972.0,5899.75,6031.0,0.158,1.1341631,1.112081,1.1621118,1.4740931,1.4211781,1.527008,"Gaia DR2 2119534646538533888",282.0612730600966,47.08549844163537,1.2555,-6.8558,3.9388,0.0,2015.5,0.0
2080287892525359872,297.8423072830826,0.02667893748680902,46.57435950627034,0.031168328600218256,3.059480188079765,0.032197589667293344,15.812304,1.9770956,,,0,"NOT_AVAILABLE",3839.67,3727.0,4173.0103,0.3407,0.59739065,0.5057633,0.6340557,0.06988551,0.06813013,0.07164089,"Gaia DR2 2080287892525359872",297.8423072830826,46.57435950627034,3.0595,-13.6176,19.6456,0.0,2015.5,7.105427357601002E-15
2132614922197436928,289.19959952310364,0.014675982878735625,49.305640387321944,0.0164648634192606,0.7410417330533927,0.01662413474488352,14.489176,0.85109234,,,0,"NOT_AVAILABLE",5767.25,5743.0,5801.0,0.5735,1.4760455,1.4589202,1.4885371,2.1715472,2.0308683,2.312226,"Gaia DR2 2132614922197436928",289.19959952310364,49.305640387321944,0.741,-1.6052,-16.3851,0.0,2015.5,7.105427357601002E-15
2132152916856093952,285.61544923641924,0.019168633570086954,50.13577115890124,0.024924646543579475,2.0209331609359626,0.024299396120862876,12.1576605,0.82140255,-59.51530534602783,1.0866887173228486,9,"NOT_AVAILABLE",5697.7,5531.533,5789.0,0.7355,1.6264609,1.5755628,1.7256463,2.5117729,2.4595888,2.563957,"Gaia DR2 2132152916856093952",285.61544923641924,50.13577115890124,2.0209,6.0026,4.6718,-59.5153,2015.5,0.0
