designation,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 3877070590167177344",3877070590167177344,154.67109851528122,10.128840557054852,7.612480090104123,0.017387824,9.223219,2.5642445,0.17461385,5625.6333,5624.2314,5627.5205,0.2073,0.2022,0.212,"Gaia DR2 3877070590167177344",154.6710977391338,10.128846394556847,7.5275,5.3476,-42.4488,2.806,2015.5,6.195189125906672E-8
"Gaia DR3 3997075206232885888",3997075206232885888,168.63764182700731,25.71060296527337,46.376322943252845,0.022130016,7.526765,-1.8223046,0.14375961,5053.029,5030.184,5058.0967,-0.5258,-0.7205,-0.4283,"Gaia DR2 3997075206232885888",168.63765836903957,25.710596159037603,46.3494,-107.5336,48.6618,-1.3882,2015.5,5.679754264202912E-8
"Gaia DR3 6541360574788758016",6541360574788758016,343.57237979136073,-43.01022537484737,21.61785873098705,0.014759851,9.617803,14.08177,0.14926378,4694.7734,4693.6655,4700.8496,0.0218,0.0161,0.0458,"Gaia DR2 6541360574788758016",343.5723793809786,-43.01022913808301,21.6104,2.0116,27.5643,14.1987,2015.5,6.834742506970429E-8
"Gaia DR3 3810535361999701376",3810535361999701376,169.04182734288003,1.9866780997208662,3.011244526539542,0.014710814,13.138878,31.536997,1.92554,5322.585,5197.6777,5342.0225,0.1556,0.0366,0.1831,"Gaia DR2 3810535361999701376",169.0418328437537,1.9866832449587104,3.0079,-39.5436,-36.9563,0.0,2015.5,1.3541860563714013E-8
"Gaia DR3 602494855483616256",602494855483616256,127.88291015367912,11.922254670917782,2.086038492064166,0.023197759,14.262713,53.72317,3.4347913,4884.575,4871.44,4895.652,0.5973,0.5748,0.6131,"Gaia DR2 602494855483616256",127.8829120059471,11.922255008705969,2.0734,-13.1493,-2.4518,0.0,2015.5,1.4245226215419042E-8
"Gaia DR3 3811032513054107648",3811032513054107648,170.1554746211378,2.502755399520643,2.940871978399012,0.016890999,12.731342,16.94029,1.519723,5444.014,5422.288,5486.2905,-0.4019,-0.4239,-0.3589,"Gaia DR2 3811032513054107648",170.15547628223447,2.502753413982223,2.8922,-11.7544,13.996,15.4462,2015.5,4.961200161082315E-8
"Gaia DR3 148080473682357376",148080473682357376,70.14940598898376,25.009807061815554,13.266846680076295,0.016810527,13.308754,96.36889,4.5346384,3842.436,3831.874,3845.8992,-0.3196,-0.3299,-0.2717,"Gaia DR2 148080473682357376",70.14937754890124,25.009813492729172,13.2743,185.6583,-46.3627,96.8916,2015.5,1.498801564311308E-8
"Gaia DR3 3892632287473304064",3892632287473304064,178.0568690641569,2.594118564265824,2.781006677813245,0.045213312,15.517032,,,4199.8223,4195.214,4206.334,0.2678,0.2549,0.2916,"Gaia DR2 3892632287473304064",178.05687453819635,2.5941221593330703,2.7194,-39.2368,-25.6464,0.0,2015.5,3.807464166416392E-8
"Gaia DR3 3579426053724051584",3579426053724051584,188.1373162687901,-9.607610571542049,2.874799975472757,0.015951281,12.468968,0.70679945,0.80040646,5558.4185,5549.7773,5587.8975,0.0182,0.0092,0.044,"Gaia DR2 3579426053724051584",188.13731722664113,-9.607611455428716,2.8473,-6.8311,6.1065,1.4665,2015.5,3.602499513941922E-8
"Gaia DR3 3896271842760486272",3896271842760486272,178.11056721721133,4.254661939207739,1.9904626076567742,0.024271317,14.410999,-9.02309,7.082281,4915.8745,4913.1226,4920.081,-0.4,-0.4108,-0.3885,"Gaia DR2 3896271842760486272",178.11057407841278,4.2546648930707684,1.9959,-49.1714,-21.2889,0.0,2015.5,1.3259374476568268E-8
