pl_name,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
Kepler-763 d,3,6.50327035,0.00003134,-0.00003134,0.0634,,,1.67,0.08,-0.12,0,,,89.76,,,0.08,0.375,-0.08,0.04183,0.00241,-0.00241,292.1445534,47.1573604,962.459,30.184,-28.432,1.01093,0.0313761,-0.0313761
Kepler-77 b,1,3.57878087,0.00000023,-0.00000023,0.04501,0.00063,-0.00063,10.761,0.179,-0.179,0,,,88,0.11,-0.11,0.341,0.017,-0.017,0.9849,0.0051,-0.0051,289.6079433,44.3454347,639.411,7.055,-7.055,1.53518,0.0171248,-0.0171248
Kepler-784 c,2,17.157236,0.0001862,-0.0001862,0.1309,,,1.55,0.24,-0.36,0,,,88.81,,,0.238,0.218,-0.238,0.01104,0.0005,-0.0005,295.9206663,47.4486164,1303.72,21.12,-20.47,0.738217,0.0121402,-0.0121402
Kepler-864 c,2,2.42150341,0.00001597,-0.00001597,0.0382,,,1.62,0.47,-0.19,0,,,84.11,,,0.55,0.402,-0.336,0.01715,0.00126,-0.00126,285.0570943,46.3206074,2022.9,153.4,-133.65,0.464331,0.0343253,-0.0343253
Kepler-865 c,2,6.20920207,0.0000479,-0.0000479,0.061,,,0.89,0.19,-0.13,0,,,89.11,,,0.272,0.189,-0.272,0.01019,0.00092,-0.00092,297.7242257,43.5272796,586.137,7.904,-7.7,1.67758,0.0225342,-0.0225342
Kepler-880 c,2,11.8061737,0.0001518,-0.0001518,0.1216,,,2.87,0.58,-0.94,0,,,84.28,,,0.905,0.059,-0.711,0.00881,0.00094,-0.00094,281.9712347,43.6727839,601.324,8.299,-8.079001,1.63439,0.0224742,-0.0224742
Kepler-896 c,2,29.5422566,0.0002958,-0.0002958,0.1792,,,3.15,0.73,-0.25,0,,,81.44,,,0.959,0.011,-0.008,0.08799,0.00331,-0.00331,282.4391402,43.7344291,2334.93,179.875,-179.875,0.397545,0.0323571,-0.0323571
Kepler-949 c,2,20.99757968,0.00003334,-0.00003334,0.1394,,,2.97,0.61,-0.43,0,,,89.76,,,0.277,0.161,-0.277,0.11318,0.0027,-0.0027,298.6079128,46.45366,486.105,5.387,-5.387,2.02859,0.0226229,-0.0226229
Kepler-975 c,2,5.05821338,0.00000474,-0.00000474,0.0567,,,10.69,6.94,-6.3,0,,,85.01,,,1.004,0.042,-0.696,0.07483,0.00237,-0.00237,290.54851,38.4952415,426.088,3.564,-3.564,2.3182,0.0194827,-0.0194827
PH2 b,1,282.5255,0.001,-0.001,0.828,0.009,-0.009,10.12,0.56,-0.56,0.41,0.08,-0.29,89.83,0.03,-0.02,0.512,0.05,-0.066,0.9882,0.0126,-0.0126,289.7636212,51.962683,343.863,3.631,-3.557,2.87962,0.0301634,-0.0301634
