source_id,radius_flame,radius_flame_lower,radius_flame_upper
3630680754621236096,0.6840352,0.66635275,0.70138806
3643098875168270592,0.9511084,0.9312631,0.97090065
3652176997218325888,1.0621904,1.039563,1.0847023
3668036348641580288,0.8821451,0.8635839,0.9007405
3675248118423392256,0.5408945,0.51325285,0.56853706
3676684252407983488,1.3387368,1.3272417,1.3505346
3682825883842696832,0.70715743,0.69007164,0.7241254
3683121446312149504,0.66136247,0.6433486,0.67938215
3693923185982895360,0.8755566,0.85049915,0.9029322
3694743765254445312,1.1762077,1.1621444,1.1848855
3694878833385971840,0.7323163,0.7155682,0.74907357
3695235654973028736,,,
3695568295896473856,1.3069125,1.2777536,1.3359523
3697828548204889344,0.9659783,0.9392709,0.9952336
3700295641843380224,1.1296526,1.1051955,1.154982
3700937760929835648,0.5607802,0.53662366,0.58500737
3701015375282968064,1.5470724,1.5142946,1.5799412
3761497761876022400,,,
3788394461991295488,1.4872313,1.4562824,1.5182171
3794479262419500160,0.91854656,0.8995989,0.93791765
3803004978659671040,0.85902065,0.84046346,0.8768641
3803494845449564672,1.570853,1.5368292,1.6052964
3807826337147474176,,,
3810535361999701376,0.8499167,0.8445437,0.86729735
3811032513054107648,0.95048106,0.93071294,0.97094446
3811688440459523200,0.9160395,0.8971159,0.9349341
3856449627544923392,0.67858595,0.65252674,0.7046566
3857872051994269824,0.2589969,0.21031883,0.34809783
3859431674878660864,0.5877352,0.5621344,0.6133429
3860369901894562304,0.6447971,0.6258547,0.66371655
3862378262961788288,,,
3864142669886768896,0.30470806,0.29770073,0.3794242
3877070590167177344,1.7560672,1.7200937,1.793007
3882879683758393344,2.611326,2.554784,2.6676104
3892632287473304064,0.67161876,0.65029925,0.692273
3896271842760486272,0.80703217,0.7869244,0.8263369
3899064464855774592,,,
3962403923821595264,0.76699543,0.74984723,0.7841155
3997075206232885888,0.7866658,0.7699847,0.80355257
4056326681029056896,,,
4056443366649948160,1.2209766,1.1781229,1.2893536
4223507222112425344,,,
4224062406762625152,1.5804461,1.5484884,1.61245
4255957040079935488,2.1498635,2.081581,2.2700474
4256135160951556480,1.2235675,1.1833948,1.2700181
4263752921128319616,0.8346744,0.81539375,0.8533053
4285511294172309504,1.4664786,1.4341326,1.5002637
4287832775526476800,0.9297028,0.9094261,0.95014596
4334991786994866304,1.2867287,1.2811806,1.2946751
4439085988769170432,1.722459,1.6239586,1.8267263
4453211899986180352,1.5194585,1.4888108,1.5501232
4477340334766250496,,,
4534144923690481408,1.3767178,1.348872,1.404544
4558177980124887936,1.7258207,1.6901667,1.7614967
4583004815239650176,1.5112371,1.4802336,1.5422587
4596481632339898240,0.9008674,0.8819422,0.9199658
4606030169272920320,1.1435164,1.1203004,1.1667364
4608935250790855296,2.2016575,2.1566665,2.2468474
4613145315172329984,1.5671675,1.5351919,1.5991197
4620574887039870720,,,
4624979393181971328,1.1054605,1.0826954,1.1280923
4668163021600295552,1.4540989,1.4249237,1.483285
4684513614202233728,1.2820479,1.2553812,1.3093779
4698692748651744128,0.8651048,0.8472032,0.8830054
4707634458245031552,2.332882,2.2854178,2.3800669
4727755005637190016,1.5742754,1.5418799,1.607087
4745660479479743488,1.748071,1.7129487,1.7832088
4746157737910069888,1.2552606,1.2299833,1.2805556
4747624104168195072,2.0027626,1.9626174,2.042899
4756649415309914240,1.2684034,1.242879,1.2939196
4837286842168217088,1.7082589,1.6727923,1.7436937
4864759888238232320,2.0100467,1.968221,2.0525286
4886243456388510720,,,
4895489043507741440,0.8170502,0.79982555,0.8342787
4911563216311083392,1.1105418,1.0880221,1.1330683
4917441922731087488,1.094315,1.0648228,1.1240951
4968289907406396160,1.7316248,1.71193,1.7492721
4990044668377961984,1.0554935,1.0331554,1.0773258
4994237247949280000,1.768334,1.7278076,1.8098803
5001098681543159040,,,
5019835424832215424,0.90792906,0.8892239,0.9266343
5057924844082070016,1.2469124,1.221249,1.2728696
5065640460769428224,2.2264502,2.1774552,2.276116
5086537022856406272,1.2184604,1.1916426,1.2455431
5089851638095503616,1.9884226,1.9430108,2.032633
5175239363214344960,0.7862985,0.7691154,0.80348295
5227928170880093568,1.7482092,1.7125707,1.7838222
5241964708164136192,1.2470292,1.1410704,1.3938047
5242077854771196544,0.85068905,0.827466,0.8719078
5253607539857229568,1.7216551,1.610738,1.8145411
5262666416118954368,,,
5284358990266469760,0.7085409,0.6910695,0.72696686
5288681857665822080,1.2296802,1.2039317,1.2553828
5305241494923209856,1.0765977,1.0367662,1.116549
5337273743301313536,1.5422205,1.4982156,1.5918562
5337294049909975680,0.9276033,0.8996251,0.96004033
5351820556994135296,1.7778378,1.7414929,1.8141904
5357465071731312768,0.5663713,0.52460617,0.60813653
5376137837173646208,1.9922723,1.9498827,2.035915
5385076140853434752,1.759909,1.7224945,1.7964449
5401743332678544640,1.2924824,1.2644783,1.3194518
5409268527708808320,1.4502089,1.4205737,1.4798529
5411736896952029568,1.0225605,1.0016524,1.0434395
5444147952811517696,,,
5453063823882876032,1.2127479,1.1870896,1.2379205
5509620021956148736,0.7415173,0.72403294,0.75896317
5545555570947605376,1.2016498,1.177045,1.2275444
5557345496687437696,0.84487987,0.8271292,0.8626685
5560886336446650240,1.5057007,1.4750504,1.536916
5574766468155514752,1.8171359,1.7792869,1.8565348
5580554052549277056,2.1417952,2.097943,2.1857285
5656184406542140032,1.0466243,1.0251155,1.0682788
5664814198431308288,0.42553985,0.40679917,0.42673504
