designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 4606030169272920320",4606030169272920320,274.4055355848893,36.621462460816105,3.2184425390915,0.010455294,11.924523189663736,5.903584605421854,0.914627,11.815647,0.79387283,8.56191,1.1060768,"VARIABLE",0,true,true,false,true,false,true,true,5752.1475,4.292,-0.0345,304.6086,4.0E-4,3.0E-4,2.0E-4,"Gaia DR2 4606030169272920320",274.40553347889204,36.62146168347412,3.2679,11.8658,6.0307,7.7255,2015.5,7.358217141930313E-8
"Gaia DR3 3385777286999240576",3385777286999240576,100.84801246998089,27.252179208998616,3.1803549111580183,0.016531892,-8.086152919299375,-22.750828520100377,0.86083657,10.824878,0.5845518,36.860626,0.9421341,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6480.038,4.1759,-0.233,310.1089,0.0127,0.011,0.006,"Gaia DR2 3385777286999240576",100.8480137442826,27.25218233081383,3.0912,-8.1615,-22.9542,36.027,2015.5,6.627150555646486E-8
"Gaia DR3 1925321658551399040",1925321658551399040,354.77408786460535,42.46598700990808,3.6458922712977846,0.022111854,-20.202405347036024,2.996350745248467,1.2652596,10.31066,0.5895214,-21.667309,0.33985108,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6715.8354,4.1056,-0.4524,272.6797,0.1513,0.1329,0.0718,"Gaia DR2 1925321658546436352",354.7740917125128,42.46598663551603,3.6036,-20.0751,3.1231,-22.1269,2015.5,7.782049667883097E-8
"Gaia DR3 3080104185367102592",3080104185367102592,130.5056380692002,3.7105663796078634,2.984291239605465,0.019167325,-2.8991481922754594,1.0806439295093666,0.99086225,9.777479,0.31574535,1.0841682,0.757274,"VARIABLE",0,true,true,false,true,false,true,true,7675.4897,4.0561,-0.2621,349.5202,0.0656,0.06,0.032,"Gaia DR2 3080104185367102592",130.5056384529278,3.7105661773808136,2.9021,-2.8562,0.984,0.0,2015.5,6.69911243836489E-8
"Gaia DR3 3291455819447952768",3291455819447952768,74.55233279420126,9.997978782884088,3.1430007154120596,0.023876483,-2.7017529991976086,-5.059143108760879,0.9491751,9.458499,0.25722313,21.801088,1.3908815,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,8811.203,4.1089,-0.6242,315.4169,0.3558,0.3332,0.1775,"Gaia DR2 3291455819447952768",74.55233315106537,9.997979429174482,2.9962,-2.6574,-4.9963,0.0,2015.5,5.080064437456942E-8
"Gaia DR3 898130030131443584",898130030131443584,110.16851397513459,37.14059288077666,2.162599706281586,0.014048763,-9.795577453601858,-13.028643797910172,1.072309,12.146357,0.6754341,20.69231,2.2675128,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6146.142,4.2521,-0.1311,450.796,0.0061,0.0052,0.0028,"Gaia DR2 898130030131443584",110.16851565511884,37.14059462289137,2.1687,-9.6299,-13.0429,0.0,2015.5,6.942059634427687E-8
"Gaia DR3 2966680597368750720",2966680597368750720,88.14680750022252,-19.03162579997132,5.892475636080271,0.018947652,-2.5683453140014096,7.370648041812359,1.0773917,14.344855,2.023878,37.963,1.6691499,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,4663.2993,4.5291,-1.4787,166.9534,2.1346,1.5685,0.8588,"Gaia DR2 2966680597368750720",88.1468078577286,-19.03162683587583,5.8774,-2.5325,7.3488,0.0,2015.5,2.0539069701497793E-8
"Gaia DR3 6125644402384918784",6125644402384918784,186.5740469397414,-51.36305883142051,15.486075734153127,0.01270501,-70.62650839318817,-49.75810074606096,0.85142386,9.095598,0.82159233,16.910528,0.15331148,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,5645.641,4.4761,-0.3973,64.2844,0.0064,0.0053,0.0029,"Gaia DR2 6125644402384918784",186.57406267108885,-51.363051948371485,15.4517,-70.4341,-49.8654,16.7776,2015.5,5.8425338631336335E-8
"Gaia DR3 5902750168276592256",5902750168276592256,230.43977568214885,-48.31885569587278,67.84669435693799,0.06005369,-1623.2748018634263,-275.5476122093827,0.90641874,5.48217,0.8367486,-68.7763,0.12268176,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5620.91,4.3504,-0.6025,14.7331,0.0,0.0,0.0,"Gaia DR2 5902750168276592256",230.44011474118648,-48.31881738215658,68.0818,-1624.0468,-276.0237,-68.6632,2015.5,9.622282818308252E-8
"Gaia DR3 6258810550587404672",6258810550587404672,231.74205733389036,-16.50900794466127,6.421715271822694,0.018947072,20.854257650531753,-46.98819566275446,0.98045206,9.779824,0.8940029,-2.8486452,0.20954318,"NOT_AVAILABLE",0,false,false,true,false,false,true,true,5739.13,3.9929,-0.2169,154.9222,0.2398,0.2002,0.1077,"Gaia DR2 6258810550587404672",231.74205431254407,-16.509001382103445,6.4109,20.5385,-46.8641,-2.6535,2015.5,6.953020962998763E-8
"Gaia DR3 4707634458245031552",4707634458245031552,4.447185654682732,-66.35892922123278,12.493433882602456,0.016992304,64.72879662976752,-5.137846381990582,0.9779523,7.605658,0.9288907,30.6411,0.12532662,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,5650.196,3.8167,0.1848,80.8661,0.2226,0.1843,0.098,"Gaia DR2 4707634458245031552",4.4471631360867425,-66.35892846411936,12.5386,64.7627,-5.0556,30.7526,2015.5,6.529398110877532E-8
"Gaia DR3 1331356474971716992",1331356474971716992,247.6229689231794,38.34754219061385,13.120310976715464,0.016170053,-77.9627429966124,52.68159977125449,0.93068254,8.026566,0.7262025,-17.931711,0.13204755,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5974.0513,4.118,0.0281,76.0307,5.0E-4,4.0E-4,2.0E-4,"Gaia DR2 1331356474971716992",247.62298268814675,38.34753490078193,13.1526,-77.8994,52.5643,-17.8419,2015.5,2.6325746884335844E-8
"Gaia DR3 5175239363214344960",5175239363214344960,38.27122903475207,-10.35219079656957,21.8635052465849,0.019295631,-172.91732029476393,-92.21781146027244,1.1519828,9.484146,1.1825762,-3.63858,0.2453801,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4756.42,4.5474,0.0615,45.6735,0.0,0.0,0.0,"Gaia DR2 5175239363214344960",38.27125344866761,-10.352177972880023,21.9192,-173.0289,-92.131,-3.7231,2015.5,3.165658137773471E-8
"Gaia DR3 545560867790611072",545560867790611072,42.436652471054394,71.75308362260229,12.91420597983332,0.017742598,90.84790827576742,-33.01315728616289,0.90149856,8.043712,0.74551487,-3.2860105,0.13357411,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5905.5615,4.1689,-0.081,76.851,0.0049,0.0042,0.0022,"Gaia DR2 545560867790611072",42.436612311303215,71.75308823735722,12.7776,90.9819,-33.1973,-3.2189,2015.5,6.197754867526837E-8
"Gaia DR3 2300641567596591488",2300641567596591488,325.2021305626916,84.33377002159953,35.35813239584549,0.015947675,345.18485790957845,62.88439866549353,0.88648903,8.141795,1.056076,-6.5307283,0.13787116,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4998.011,4.5291,-0.2142,28.2302,1.0E-4,1.0E-4,0.0,"Gaia DR2 2300641567596591488",325.20164509451985,84.3337613383066,35.3146,345.1776,63.044,-6.6563,2015.5,7.323454346919326E-8
"Gaia DR3 1779546757669063552",1779546757669063552,330.79502626424147,18.88423938290383,20.76938988528237,0.02657181,29.76638948770287,-17.976036440051033,0.9842082,7.5212455,0.7129955,-14.7757635,0.15868707,"VARIABLE",0,true,true,false,true,false,true,true,5996.3154,4.237,-0.3061,48.0623,0.0,0.0,0.0,"Gaia DR2 1779546757669063552",330.79502193025064,18.884241929866338,20.6745,29.5787,-17.8904,-15.0146,2015.5,6.262804138736679E-8
