Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me,Parallax,Parallax e,G-Mag,Logg,logg pe,Logg me
2100389610777053056,5972.533,13.327,15.132,1.7377043,0.037458,0.0374258,-0.2553,0.0103,0.0126,1.040606661,0.01057872,13.377445,4.0808,0.0061,0.0064
2100392428275714688,5957.8623,1.1547,0.8933,1.0827304,0.0218815,0.0218853,-0.5132,0.0053,0.0051,4.663406473,0.011472758,11.014986,4.2815,0.002,0.0021
2100416823690394624,5951.8306,10.7006,11.7281,1.5361514,0.0311244,0.0312133,-0.4201,0.0089,0.0097,4.477430105,0.012352475,10.454783,4.1547,0.008,0.0021
2100524610190045312,6198.1123,13.4927,14.0943,1.274494,0.0270706,0.0265792,-0.1496,0.0106,0.0119,1.764777353,0.011072707,12.607149,4.279,0.0049,0.0053
2100597143598879616,4799.539,12.2466,16.2973,0.8272737,0.0179733,0.01778683,0.3784,0.0215,0.0355,3.573369181,0.010045121,13.304106,4.5375,0.0027,0.0045
2100624562669914240,5653.4414,25.4916,29.5557,1.6551768,0.059674,0.0524498,-0.0649,0.0214,0.0259,0.532539972,0.018811854,15.012537,4.1947,0.0418,0.0356
2100906140725803392,5733.9683,18.0244,7.4995,0.9348722,0.019215,0.01929306,-0.3441,0.0117,0.0112,2.975571528,0.009822377,12.501771,4.4155,0.0299,0.0048
2101035367703145088,6507.081,33.3067,27.203,1.3544638,0.0298717,0.030137,-0.272,0.0176,0.0205,1.060948295,0.010933318,13.443366,4.2032,0.0239,0.0922
2101175933393051008,5806.7954,2.4009,1.5937,1.4027,0.0287677,0.0285112,-0.2675,0.0079,0.0066,2.093271641,0.008858635,12.287978,4.105,0.0036,0.0033
2101188990094347648,5672.3057,34.0693,74.9337,1.1145848,0.0519071,0.0377483,-0.2035,0.0398,0.0802,0.698843288,0.024613641,15.3762245,4.3901,0.0186,0.0219
2101230049979183232,5523.122,39.778,24.0434,0.87497675,0.01865525,0.01883385,-0.0759,0.0475,0.0265,1.966572546,0.012308684,13.780965,4.5013,0.0137,0.0142
2101243789577188736,5728.0405,2.5415,1.5561,1.5615602,0.0319411,0.0317436,-0.1621,0.0046,0.0042,1.975203087,0.009243771,12.239382,4.1737,0.0026,0.0021
