Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me
2077750803804146176,,,,1.2264249,0.0287335,0.0268752,,,
2077961463362645632,,,,0.78400034,0.02684271,0.0259853,,,
2077994272606400512,,,,0.9059614,0.0188067,0.01869315,,,
2078000289864478976,4561.1143,19.0647,18.3543,0.76186293,0.02092517,0.0211094,0.0982,0.0424,0.0494
2078195212660287616,,,,1.1766331,0.038725,0.0364122,,,
2078272831307891456,,,,1.4024361,0.0315553,0.031687,,,
2078286197246582016,,,,0.81548184,0.01919296,0.01817429,,,
2078515170549178880,,,,1.0392451,0.0228339,0.0220383,,,
2078648211455026432,5300.3193,16.959,17.1573,0.8513842,0.01920893,0.0184127,-0.212,0.0167,0.0189
2078697552035948800,,,,1.3248361,0.0308996,0.0299968,,,
2078722600285671936,,,,0.8986462,0.01899353,0.0189184,,,
2078832551450444032,,,,0.85341823,0.02266297,0.02370798,,,
2078996825361036160,,,,,,,,,
2079005651508492032,,,,1.6803675,0.037685,0.0377085,,,
2079192121810035840,,,,1.0421772,0.0214609,0.0214868,,,
2079295583282164992,,,,0.95647526,0.02016198,0.02009736,,,
2079368391569401600,,,,1.157068,0.0243422,0.0237962,,,
2079695496278608896,,,,1.1629783,0.0238496,0.0240038,,,
2079807646464016256,4769.4673,18.603,11.2663,0.81585896,0.02670211,0.02426416,-0.5965,0.0332,0.0327
2079880695265507328,5655.6826,11.2474,4.8446,1.0666069,0.0226059,0.0224992,-0.1178,0.0092,0.0048
2079885608708649344,,,,0.9014964,0.0188724,0.01887785,,,
2080246282881778048,,,,0.8497759,0.02574034,0.023102,,,
2080266967444876032,,,,,,,,,
2080271674728481280,5326.634,7.4324,7.9367,1.0832198,0.0220843,0.0221454,0.0654,0.0087,0.0086
2080287892525359872,,,,,,,,,
2080296757338392576,5802.9204,19.0176,19,1.0779176,0.0388824,0.0374283,-0.4177,0.0212,0.0204
2080344586094498432,,,,0.7885804,0.01734825,0.0169058,,,
2080386917291928832,,,,1.9153173,0.0385286,0.0385211,,,
2080452613110460928,,,,1.1084654,0.0237385,0.024386,,,
2080466185207274880,5508.0186,28.5064,40.604,0.9692778,0.02483606,0.02426475,-0.388,0.033,0.035
2080562667352233728,,,,0.881537,0.0209633,0.01926223,,,
2080605823183999616,5818.928,37.1643,73.913,2.8514073,0.0675635,0.0794585,-0.0758,0.0424,0.0614
2082074942519913344,,,,1.0990694,0.0232598,0.0228701,,,
2082161219824397568,6766.387,10.8293,27.562,1.6037103,0.03629,0.0360147,-0.4877,0.0083,0.016
2085204015173031552,6167.8657,21.209,16.0219,1.9533302,0.0422284,0.0474188,-0.3159,0.0336,0.0131
2085527924426959104,5044.935,13.5338,13.1464,0.7817403,0.01803083,0.0175924,-0.0834,0.014,0.0123
2086337508581280256,,,,1.6540134,0.067027,0.0755816,,,
2086389357427331712,,,,2.7489078,0.0579479,0.0590155,,,
2086505630781210752,,,,1.5285162,0.0315431,0.031381,,,
2086625752425381632,,,,1.4324521,0.0294179,0.0296267,,,
2086629463276947456,,,,0.80472195,0.01847325,0.01900118,,,
2086660283961964416,,,,1.1138263,0.0522419,0.0345202,,,
2086718317558873984,,,,1.7152663,0.049853,0.0575184,,,
2086940448965828992,,,,1.2121687,0.0246738,0.0248506,,,
2087171453788422528,,,,0.8737278,0.0184889,0.0181216,,,
2087250476887856256,,,,0.750875,0.0171531,0.0171437,,,
2099541715513813504,,,,1.1141555,0.0226074,0.0225862,,,
2099583977992504576,5847.7944,7.5103,14.3294,1.2093711,0.0257969,0.0259109,-0.3059,0.0089,0.0097
2099605968225288960,,,,1.4489298,0.0295747,0.0295055,,,
2099606483621385216,,,,1.955826,0.0399418,0.0416977,,,
2099656472742686848,,,,1.4933653,0.0303011,0.0302372,,,
2099854801450635520,5185.2856,23.8524,31.623,0.87267977,0.02230036,0.0221467,0.0139,0.0273,0.0318
2099862910348755712,,,,0.9298862,0.0192666,0.01933733,,,
2099925719951103872,,,,1.0027453,0.0213087,0.02139005,,,
2100389610777053056,,,,1.7377043,0.037458,0.0374258,,,
2100392428275714688,,,,1.0827304,0.0218815,0.0218853,,,
2100416823690394624,,,,1.5361514,0.0311244,0.0312133,,,
2100524610190045312,6198.1123,13.4927,14.0943,1.274494,0.0270706,0.0265792,-0.1496,0.0106,0.0119
2100597143598879616,,,,0.8272737,0.0179733,0.01778683,,,
2100624562669914240,,,,1.6551768,0.059674,0.0524498,,,
2100906140725803392,,,,0.9348722,0.019215,0.01929306,,,
2101035367703145088,6507.081,33.3067,27.203,1.3544638,0.0298717,0.030137,-0.272,0.0176,0.0205
2101175933393051008,,,,1.4027,0.0287677,0.0285112,,,
2101188990094347648,,,,1.1145848,0.0519071,0.0377483,,,
2101230049979183232,,,,0.87497675,0.01865525,0.01883385,,,
2101243789577188736,,,,1.5615602,0.0319411,0.0317436,,,
2101305259145506816,,,,1.1894388,0.0240821,0.0240944,,,
2101508501301083520,,,,,,,,,
2101719263935952768,,,,1.4034766,0.0308102,0.031503,,,
2101733244046205568,,,,1.5966405,0.032741,0.0327007,,,
2101768089124657664,,,,0.8171295,0.02111804,0.02276874,,,
2101854881822529024,,,,1.5302881,0.0789621,0.0587007,,,
2101898759208960640,,,,1.7778658,0.0395803,0.0379526,,,
2101964558106974848,,,,0.96167403,0.02100552,0.02100956,,,
2102063136195478656,,,,0.9193716,0.02393556,0.0221613,,,
2102067396802935680,,,,0.8048409,0.02567633,0.02222136,,,
2102070660978313472,5701.0234,7.5323,3.8418,2.0325074,0.052742,0.0488599,-0.4455,0.0074,0.0083
2102110174677569664,,,,1.0104553,0.0209218,0.02138745,,,
2102119176929154304,6059.0317,5.7373,3.3817,1.4814175,0.0300203,0.030017,-0.09,0.006,0.0056
2102224661326132864,,,,1.7392821,0.0359083,0.0359491,,,
2102316985943863424,,,,1.5929097,0.0411035,0.0379493,,,
2102454253097554304,,,,1.0770596,0.0220364,0.0219264,,,
2102469921138142208,,,,0.8789651,0.0261494,0.03140136,,,
2102548708017562112,,,,0.92110395,0.01919875,0.01887445,,,
2102587087846067712,,,,1.064798,0.0137056,0.0105072,,,
2102610280669509888,,,,1.5527471,0.0356806,0.0326786,,,
2102700131386216576,,,,0.8190332,0.0225567,0.02176135,,,
2102815683186036096,,,,,,,,,
2102911581215700096,,,,0.82417,0.0220446,0.0203817,,,
2103295173333142784,,,,,,,,,
2103452266056715392,,,,1.2521625,0.0252697,0.0252942,,,
2103788854053938816,,,,0.7912645,0.0176885,0.01747676,,,
2103845032226500352,4773.7817,24.3877,41.4204,0.77950495,0.02381995,0.02144318,0.2302,0.0405,0.0769
2104094071610116608,,,,0.81346595,0.01797085,0.01734045,,,
2104098950692667264,,,,1.0449833,0.0231938,0.022806,,,
2104344141784539264,,,,,,,,,
2104376405579347968,,,,0.7230894,0.0167716,0.0169444,,,
2104466153215402624,,,,1.6239846,0.035578,0.0350948,,,
2104466256290759936,,,,,,,,,
2104506319750394624,,,,1.0890865,0.0261559,0.026941,,,
2104847370214740352,,,,0.8559739,0.01793575,0.0180727,,,
2105135854577044480,,,,1.0909319,0.0221373,0.0221268,,,
2105221139747765504,5229.7573,7.9243,7.832,2.1941688,0.1211829,0.0998864,-0.0099,0.0004,0.0002
2105274977158196480,6717.0483,8.7232,9.2749,1.5323566,0.0321073,0.0321108,-0.1927,0.0078,0.0075
2105362903731391744,,,,1.0856304,0.0222699,0.0222938,,,
2105414310196331264,,,,,,,,,
2105415302330571008,5661.6255,34.5459,9.3418,1.0918821,0.0224857,0.0232494,-0.053,0.0322,0.0109
2105435544515167232,,,,0.7517613,0.01671227,0.01640765,,,
2105535462635217792,,,,1.2555915,0.0389468,0.0409678,,,
2105538623730974848,4892.5215,13.6605,14.9855,0.7153976,0.01975625,0.01805157,-0.0933,0.0175,0.0168
2105618029085927680,,,,0.8845704,0.01966097,0.01961646,,,
2105620159389754624,,,,1.4421504,0.0305242,0.0298297,,,
2106008493152187392,,,,0.728544,0.0166286,0.0169609,,,
2106306495162679552,,,,,,,,,
2106371744306291328,5329.74,23.6765,22.5227,1.0184155,0.0247896,0.0252229,-0.0884,0.0236,0.0234
2106496607595412480,5622.0244,2.21,1.8979,0.9201172,0.0200525,0.019519,-0.6391,0.0091,0.0082
2106674071344722688,,,,0.7971255,0.0164733,0.01647834,,,
2106705269988803072,,,,1.4723216,0.0304038,0.0301053,,,
2106821925598401152,,,,0.8237297,0.01756954,0.0173773,,,
2106996095111385728,5337.2827,187.3159,69.9267,0.80604726,0.01842864,0.01754416,-0.2472,0.1621,0.069
2107001283431633408,,,,,,,,,
2107236613280607104,,,,1.2437408,0.0258582,0.0256311,,,
2107243072911617024,,,,0.8977779,0.019234,0.0186672,,,
2107244481660894592,4653.911,18.57,25.555,0.78957015,0.02052955,0.01951565,0.1309,0.0226,0.0421
2107266570672734592,,,,1.4049164,0.028519,0.0285222,,,
2107279803471399168,5511.3457,42.5708,52.9883,1.3885334,0.0561778,0.0656908,-0.048,0.0476,5.60E-02
2107311723669410560,4648.7886,5.9399,7.0283,0.7430045,0.0174746,0.0177727,0.6283,0.0189,0.0192
2107315365800640896,,,,1.9873246,0.0404593,0.0404054,,,
2107342716152550272,,,,2.2174478,0.0472204,0.046881,,,
2107622335702262400,5314.3926,11.4311,18.2119,0.8306931,0.0190296,0.0189018,0.0763,0.0154,0.0193
2107658516506930048,5688.562,36.4795,18.9927,0.9650288,0.0201804,0.02014307,0.0954,0.0311,0.0145
2116862833283266432,,,,1.6593415,0.0338683,0.0339119,,,
2119196585370036736,,,,1.8217926,0.0378804,0.0377243,,,
2119534646538533888,5942.2583,15.8101,13.5488,1.1275643,0.0251393,0.0240824,-0.3065,0.013,0.0111
2119583201145735808,,,,0.7333195,0.01633897,0.0163338,,,
2119602202081351168,,,,0.76511157,0.00194243,0.00151474,,,
2119710538336363904,4495.9507,4.9043,6.314,0.68932337,0.02135233,0.02080317,0.2711,0.0364,0.0383
2119814820141727232,,,,0.7425848,0.0170334,0.01716427,,,
2125713940547834496,,,,0.8086425,0.01672364,0.0167247,,,
2125751461382627840,5766.714,9.8187,13.55,0.9622493,0.0195381,0.0195482,-0.1014,0.0101,0.0136
2125790322246812672,,,,0.7411304,0.01848276,0.0182857,,,
2125831210335846016,,,,0.84708196,0.01842734,0.01873606,,,
2125848733801094912,5067.63,31.131,27.512,0.8269135,0.0309029,0.0298298,-0.6725,0.033,0.0353
2125850623586710400,,,,0.9340137,0.02673634,0.02458427,,,
2126119862195142272,5587.348,8.7184,5.319,1.3439275,0.035712,0.0331877,-0.4374,0.0131,0.013
2126237131982289280,,,,1.854094,0.0164507,0.0227523,,,
2126266823097360000,,,,0.83355194,0.02195296,0.02101749,,,
2126418658780855296,,,,0.837035,0.0200903,0.018691,,,
2126432677554353280,,,,1.1278509,0.0245874,0.0237597,,,
2126436800722944000,5787.8936,3.2804,3.2146,1.1960329,0.0266011,0.0262565,-0.2472,0.0043,0.0044
2126454633427425664,,,,0.9305244,0.0205805,0.0197136,,,
2126508676995012352,,,,1.6364778,0.0340787,0.0337244,,,
2126556132093765888,3172.2478,0.8064,0.385,0.18829066,0.00376582,0.00376583,-0.4905,0.0011,0.0015
2126569051355142656,,,,1.1728027,0.0239475,0.0241635,,,
2126576679217244160,,,,0.8527546,0.0246559,0.0234878,,,
2126601108991279872,,,,1.1072953,0.0224815,0.0225871,,,
2126801563705846528,,,,1.3649918,0.0287089,0.0280938,,,
2126878048483137152,,,,0.8190213,0.0179304,0.01905663,,,
2126912305142208384,5368.125,30.452,9.451,1.0487318,0.0226059,0.0226606,0.1628,0.035,0.0131
2126918008858627712,,,,1.3793316,0.0310858,0.0284385,,,
2127001056345369984,,,,1.1006284,0.0234585,0.0233375,,,
2127355923723254272,,,,1.6470605,0.0366963,0.0390355,,,
2127390970655877888,,,,1.5699117,0.0384263,0.0392924,,,
2127398083121764736,,,,0.8820644,0.0224692,0.0207126,,,
2127771917075703424,,,,1.2316326,0.0261822,0.0273715,,,
2127798442794047104,,,,0.84361225,0.01899155,0.01869881,,,
2127851116271982848,,,,1.8821802,0.039879,0.0398344,,,
2127956360152391168,5168.095,33.742,9.0794,3.0841582,0.0363595,0.0309452,-0.0023,0.0367,0.0067
2127985806448631808,5482.518,66.9424,74.7455,1.6806562,0.087768,0.0635928,-0.3118,0.079,0.0824
2128013019361703936,6107.385,86.5505,205.1033,1.1985563,0.0502744,0.0400188,-0.2058,0.0677,0.2256
2128067720065692672,,,,1.5472559,0.0141055,0.0233925,,,
2128098197152438144,,,,1.118954,0.02695,0.0329048,,,
2128198974266072192,5852.477,24.7945,19.214,1.0990291,0.0388529,0.0302308,-0.2441,0.0198,0.0169
