KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
Kepler-1126 c,2106496607595412480,199.66876,0.003961,0.003961,0.015871358,0.000620615
Kepler-1162 c,2106996095111385728,59.284064,0.0006992,0.0006992,0.020600971,0.000866464
Kepler-1181 c,2101035367703145088,8.93484887,0.00009707,0.00009707,0.011657616,0.000707692
Kepler-1471 c,2133035966431029376,11.6044881,0.000113,0.000113,0.016358484,0.000620473
Kepler-1487 c,2073153024144692736,35.8007112,0.0003713,0.0003713,0.02043037,0.000428284
Kepler-1491 c,2127985806448631808,61.569765,0.001804,0.001804,0.017271364,0.000894544
Kepler-15 b,2134850847813263360,4.942782,0.0000013,0.0000013,0.106136704,
Kepler-1514 b,2051866238502437632,217.83184,0.00012,0.00012,0.088345911,0.000152808
Kepler-1514 c,2051866238502437632,10.514181,0.000039,0.000039,0.008360622,0.000376766
Kepler-1518 c,2082161219824397568,9.6310258,0.0001257,0.0001257,0.01723949,0.00072798
Kepler-1610 c,2079807646464016256,44.9851885,0.0004873,0.0004873,0.024855583,0.001027938
Kepler-164 e,2130889204338693504,94.886902,0.001216,0.001216,0.025331798,0.000584246
Kepler-1652 b,2135055391335687680,38.09722,0.00021,0.00021,0.031256999,0.001007774
Kepler-1654 b,2105415302330571008,1047.8356,0.0018,0.0019,0.071386273,0.000329195
Kepler-1669 d,2073652546016392448,4.72941177,0.00003075,0.00003075,0.020839866,0.000808546
Kepler-1801 c,2076185408488670208,116.583183,0.002231,0.002231,0.028618176,0.001782084
Kepler-1814 c,2103845032226500352,0.62628177,0.00000104,0.00000104,0.020811055,0.000396424
Kepler-1834 c,2076454445237794432,0.76669152,0.00000127,0.00000127,0.015620499,0.000323293
Kepler-1859 c,2128198974266072192,3.59645081,0.00003644,0.00003644,0.012231108,0.000453761
Kepler-1869 c,2125751461382627840,1.7168283,0.00000941,0.00000941,0.007713624,0.000324102
Kepler-1894 c,2134931077802625792,5.05368985,0.00005076,0.00005076,0.013095801,0.000671971
Kepler-1921 c,2085204015173031552,3.15722086,0.00001947,0.00001947,0.007049823,0.000226956
Kepler-1977 b,2051027792165858304,4.53702121,0.00002498,0.00002498,0.022458851,0.000812597
Kepler-1978 b,2099854801450635520,10.84969477,0.00002777,0.00002777,0.033497761,0.000410475
Kepler-1979 b,2051368434612892800,18.5084526,0.0001311,0.0001311,0.02754814,0.000520906
Kepler-1980 b,2052139123549626240,33.0257179,0.0006181,0.0006181,0.022518881,0.001048009
Kepler-1981 b,2099583977992504576,453.54212,0.003501,0.003501,0.029342802,0.000316943
Kepler-1982 b,2100524610190045312,3.82315697,0.00004481,0.00004481,0.006870226,0.000480334
Kepler-1983 b,2073697660354300544,7.32851947,0.00002311,0.00002311,0.016667333,0.000827967
Kepler-1984 b,2101508501301083520,1.99281234,0.00000783,0.00000783,0.017742604,0.000642521
Kepler-1985 b,2077726678964445696,3.42064689,0.00001928,0.00001928,0.01888915,0.000804695
Kepler-1986 b,2125848733801094912,19.5489666,0.0001396,0.0001396,0.022886677,0.001085785
Kepler-1987 b,2078000289864478976,2.345863,0.00000955,0.00000955,0.017796067,0.000516968
Kepler-1987 c,2078000289864478976,3.64830183,0.00001621,0.00001621,0.019279523,0.000544619
Kepler-1987 d,2078000289864478976,5.64491415,0.00000878,0.00000878,0.037388501,0.000326304
Kepler-1987 e,2078000289864478976,8.74292005,0.00003311,0.00003311,0.027919527,0.000505023
Kepler-1988 b,2078996821055736960,11.49500229,0.00008821,0.00008821,0.007169379,0.000167379
Kepler-1989 b,2126119862195142272,10.16102353,0.00000918,0.00000918,0.040668169,0.00020532
Kepler-1990 b,2076121602454770560,1.73513619,0.00000028,0.00000028,0.030864219,3.726E-05
Kepler-1990 c,2076121602454770560,4.06844957,0.00001212,0.00001212,0.008933085,0.000167915
Kepler-1991 b,2106371744306291328,13.26079792,0.00009795,0.00009795,0.014120906,0.000439065
Kepler-1991 c,2106371744306291328,22.79020351,0.00006878,0.00006878,0.024857594,0.000279593
Kepler-1992 b,2079880695265507328,15.6112238,0.0001275,0.0001275,0.010653638,0.000380152
Kepler-1993 b,2127956360152391168,26.6565737,0.0002052,0.0002052,0.012782801,0.000367682
Kepler-1994 b,2080271674728481280,4.61225043,0.00003445,0.00003445,0.005394442,0.000222451
Kepler-1995 b,2107244481660894592,73.7578875,0.0004304,0.0004304,0.042859071,0.001152615
Kepler-1996 b,2107311719368903680,32.376183,0.0001311,0.0001311,0.027302015,0.000441359
Kepler-1996 c,2107311719368903680,92.7297248,0.000398,0.000398,0.035461246,0.000449787
Kepler-1997 b,2080296757338392576,26.7575866,0.0002942,0.0002942,0.02133776,0.000698293
Kepler-1998 b,2107658516506930048,3.03267135,0.00001374,0.00001374,0.006511528,0.000245718
Kepler-1999 b,2119710538336363904,8.7396758,0.0003092,0.0003092,0.037828561,0.001414275
Kepler-2000 b,2132144056342471168,6.38315913,0.0000064,0.0000064,0.048095738,0.000424154
Kepler-2000 c,2132144056342471168,20.6180348,0.0001382,0.0001382,0.027739863,0.000939082
Kepler-2001 b,2130124219123552256,1.090011,0.00000582,0.00000582,0.013221195,0.000692071
Kepler-2001 c,2130124219123552256,14.09258319,,,0.023030415,
Kepler-290 d,2105538623730974848,0.76401755,0.00000377,0.00000377,0.011322544,0.000574076
Kepler-297 d,2131748747552136960,150.0189511,0.0001744,0.0001744,0.065724425,0.000356032
Kepler-31 d,2128013019361703936,87.6451,0.0014,0.0014,0.030967725,
Kepler-311 d,2119534646538533888,232.040326,0.006902,0.006902,0.017052859,0.000642121
Kepler-32 d,2080287892525359872,22.7802,0.0005,0.0005,0.046701178,
Kepler-32 e,2080287892525359872,2.896,0.0003,0.0003,0.025903668,
Kepler-32 f,2080287892525359872,0.74296,0.00007,0.00007,0.01496663,
Kepler-347 d,2132614922197436928,85.517344,0.001846,0.001846,0.016437761,0.000657024
Kepler-4 b,2132152916856093952,3.21346,0.00022,0.00022,0.029495762,
Kepler-416 d,2052975370856687744,3.07644709,0.00001038,0.00001038,0.014720734,0.000275122
Kepler-42 c,2126556132093765888,0.45328509,0.00000097,0.00000097,0.039496835,0.001114013
Kepler-423 b,2128273225659492608,2.6843285,0.00000007,0.00000007,0.125984126,0.000246063
Kepler-45 b,2053562475706063744,2.455239,0.000004,0.000004,0.178997207,0.002011205
Kepler-549 d,2107622335702262400,24.61480613,0.00003227,0.00003227,0.04240283,0.0003396
Kepler-58 e,2073274618947678464,4.45814897,0.00002897,0.00002897,0.013714955,0.00052862
Kepler-618 d,2129503235571760128,11.67894236,0.00002452,0.00002452,0.034425281,0.000926645
Kepler-62 b,2107001283431633408,5.714932,0.000009,0.000009,0.020736441,0.000241121
Kepler-62 c,2107001283431633408,12.4417,0.0001,0.0001,0.0083666,0.000597614
Kepler-62 d,2107001283431633408,18.16406,0.00002,0.00002,0.030331502,0.00032969
Kepler-62 e,2107001283431633408,122.3874,0.0008,0.0008,0.026457513,0.000566947
Kepler-62 f,2107001283431633408,267.291,0.005,0.005,0.020493902,0.0009759
Kepler-65 b,2102119176929154304,2.15491,0.000005,0.000005,0.009219544,8.67722E-05
Kepler-656 c,2130825020347168512,5.25449393,0.00005613,0.00005613,0.013,0.000561538
Kepler-69 b,2126436800722944000,13.722341,0.000035,0.000036,0.024433583,
Kepler-69 c,2126436800722944000,242.4613,0.0059,0.0064,0.018708287,
Kepler-763 c,2128369501647063808,4.09667624,0.00001956,0.00001956,0.017386777,0.000586653
Kepler-763 d,2128369501647063808,6.50327035,0.00003134,0.00003134,0.020452384,0.000589173
Kepler-77 b,2126912305142208384,3.57878087,0.00000023,0.00000023,0.099242128,0.000256947
Kepler-784 c,2080605823183999616,17.157236,0.0001862,0.0001862,0.01050714,0.000237933
Kepler-864 c,2107279803471399168,2.42150341,0.00001597,0.00001597,0.013095801,0.00048107
Kepler-865 c,2078648211455026432,6.20920207,0.0000479,0.0000479,0.010094553,0.000455691
Kepler-880 c,2105274977158196480,11.8061737,0.0001518,0.0001518,0.00938616,0.000500737
Kepler-896 c,2105221139747765504,29.5422566,0.0002958,0.0002958,0.029663108,0.000557932
Kepler-949 c,2085527924426959104,20.99757968,0.00003334,0.00003334,0.033642235,0.000401281
Kepler-975 c,2052826318309391104,5.05821338,0.00000474,0.00000474,0.027355073,0.000433192
LHS 1140 b,2371032916186181760,24.73694,0.00041,0.0004,0.070213959,0.001922695
LHS 1140 c,2371032916186181760,3.77792,0.00003,0.00003,0.050199602,0.001593638
LHS 475 b,6347643496607835520,2.029088,0.000006,0.000006,0.03318132,0.000904123
LP 890-9 b,4886243456388510720,2.7299025,0.0000034,0.000004,0.07898101,0.001063547
LP 890-9 c,4886243456388510720,8.457463,0.000024,0.000024,0.081602696,0.001727884
MASCARA-1 b,1744911763437512064,2.14877381,0.00000088,0.00000087,0.078841613,0.000221964
NGTS-13 b,5385076140853434752,4.119027,0.000023,0.000023,0.065574385,0.003049971
OGLE-TR-10 b,4056443366649948160,3.101278,,,0.11,0.002
OGLE-TR-113 b,5242077854771196544,1.4324752,,,0.14501724,0.001620497
OGLE-TR-132 b,5241964708164136192,1.689868,,,0.095760117,
OGLE-TR-182 b,5337294049909975680,3.9791,0.00001,0.00001,0.10198039,0.00406941
OGLE-TR-211 b,5253607539857229568,3.67724,0.00003,0.00003,0.085029407,0.004116223
OGLE-TR-56 b,4056326681029056896,1.2119189,,,0.095749674,
OGLE2-TR-L9 b,5337273743301313536,2.4855335,0.0000007,0.0000007,0.108489631,0.000967834
PH2 b,2139300262131379584,282.5255,0.001,0.001,0.099408249,0.00063375
Qatar-3 b,2878641361300809856,2.5079204,,,0.088825672,0.001801281
Qatar-4 b,385697172809355392,1.8053564,,,0.137913016,0.003009143
Qatar-5 b,382111248777193216,2.8792319,,,0.106113147,0.001319346
TOI-1064 b,6683371847364921088,6.443868,0.000025,0.000025,0.032664966,0.000443901
TOI-1194 b,1074139748425931008,2.310644,0.000001,0.000001,0.081957306,0.000475858
TOI-122 b,6411096106487783296,5.07803,0.000015,0.000015,0.074833148,
TOI-1231 b,5357465071715078016,24.245586,0.000064,0.000066,0.070142712,0.001924648
TOI-125 b,4698692744355471616,4.65382,0.00033,0.00031,0.029495762,0.000728918
TOI-125 c,4698692744355471616,9.15059,0.0007,0.00082,0.029849623,0.001005038
TOI-125 d,4698692744355471616,19.98,0.005,0.0056,0.031622777,0.001897367
TOI-1260 b,1053809778428567680,3.127463,0.000005,0.000005,0.032893768,0.000562417
TOI-1260 c,1053809778428567680,7.493134,0.00002,0.00002,0.037696154,0.000729517
TOI-1260 d,1053809778428567680,16.608164,0.000083,0.000083,0.042520583,0.000917203
TOI-1268 b,1675923005135391488,8.1577094,0.0000045,0.0000045,0.090476516,0.001132891
TOI-1416 b,1491634483976350720,1.0697568,0.0000028,0.0000028,0.021330729,
TOI-1420 b,2221164434736927360,6.9561063,0.0000017,0.0000017,0.118152444,0.000592455
TOI-1431 b,2188906825165621120,2.650237,0.000003,0.000003,0.076138033,4.59691E-05
TOI-1470 b,427224073427887360,2.527093,0.000004,0.000003,0.042591079,0.000763071
TOI-1470 c,427224073427887360,18.08816,0.00006,0.00008,0.048114447,0.000353324
TOI-1478 b,5723638723350902400,10.180249,0.000015,0.000015,0.104067286,0.001537467
TOI-157 b,4624979393181971328,2.0845435,0.0000023,0.0000023,0.11326959,0.000573852
TOI-1601 b,338382713564401920,5.331751,0.000011,0.000011,0.058266629,0.000712243
TOI-1680 b,2242756094328104576,4.8026345,0.000004,0.0000039,0.063796552,0.001489109
TOI-169 b,4684513614202233728,2.2554477,0.0000063,0.0000063,0.08660254,0.005773503
TOI-1695 b,534988616816537728,3.1342791,0.0000071,0.0000063,0.035156792,0.001180426
