KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K00711.01,KOI-711,Kepler-218 c,2080452613110460928       ,44.699505,0.00002,0.027173,0.0006981
K00711.02,KOI-711,Kepler-218 b,2080452613110460928       ,3.619312,0.000004,0.0130009,0.0003194
K00991.01,KOI-991,Kepler-744 b,2080562667352233728       ,12.062215,0.000014,0.0180419,0.00106
K00116.01,KOI-116,Kepler-106 c,2082074942519913344       ,13.570778,0.000009,0.0230094,0.0003672
K00116.02,KOI-116,Kepler-106 e,2082074942519913344       ,43.844448,0.000019,0.0233826,0.0003201
K00116.04,KOI-116,Kepler-106 d,2082074942519913344       ,23.980232,0.00002,0.0096207,0.0003604
K00730.04,KOI-730,Kepler-223 b,2086337508581280256       ,7.384422,0.000019,0.015567,0.000954
K02390.01,KOI-2390,Kepler-1219 b,2086389357427331712       ,16.104672,0.00002,0.0120173,0.0010919
K02149.01,KOI-2149,Kepler-1121 b,2086505630781210752       ,13.151421,0.000019,0.0092909,0.0004272
K00117.04,KOI-117,Kepler-107 d,2086625752425381632       ,7.958297,0.000018,0.0061411,0.0002928
K00117.03,KOI-117,Kepler-107 b,2086625752425381632       ,3.18002,0.000002,0.0101072,0.0001669
K00117.02,KOI-117,Kepler-107 c,2086625752425381632       ,4.901438,0.000006,0.0106106,0.000171
K00117.01,KOI-117,Kepler-107 e,2086625752425381632       ,14.749136,0.000011,0.0188432,0.000239
K00174.01,KOI-174,Kepler-482 b,2086629463276947456       ,56.354185,0.000019,0.0338763,0.0013008
K00756.02,KOI-756,Kepler-228 c,2086660283961964416       ,4.134431,0.000007,0.0244302,0.0008421
K00756.03,KOI-756,Kepler-228 b,2086660283961964416       ,2.566577,0.000009,0.0151305,0.0008579
K00291.01,KOI-291,Kepler-133 c,2086718317558873984       ,31.517801,0.00002,0.0198646,0.0008204
K00291.02,KOI-291,Kepler-133 b,2086718317558873984       ,8.129994,0.000018,0.0177128,0.0015777
K00294.01,KOI-294,Kepler-512 b,2086940448965828992       ,34.435879,0.000019,0.0196722,0.0009749
K00365.01,KOI-365,Kepler-538 A b,2087171453788422528       ,81.737807,0.00002,0.0241374,0.0002797
K02173.01,KOI-2173,Kepler-367 b,2087250476887856256       ,37.815615,0.000019,0.0141785,0.0007172
K02173.02,KOI-2173,Kepler-367 c,2087250476887856256       ,53.57784,0.000019,0.0156561,0.000668
K00273.01,KOI-273,Kepler-454 A b,2099541715513813504       ,10.573747,0.000007,0.0201213,0.000586
K00118.01,KOI-118,Kepler-467 b,2099605968225288960       ,24.993239,0.000021,0.0158167,0.0006156
K00975.01,KOI-975,Kepler-21 A b,2099606483621385216       ,2.785818,0,0.0082442,7.09E-05
K00281.01,KOI-281,Kepler-510 b,2099656472742686848       ,19.55659,0.000014,0.0158805,0.0002629
K00299.01,KOI-299,Kepler-98 b,2099862910348755712       ,1.541678,0.000001,0.0160803,0.0002503
K00377.03,KOI-377,Kepler-9 d,2099925719951103872       ,1.592957,0.000001,0.0148356,0.000381
K01215.02,KOI-1215,Kepler-277 c,2100389610777053056       ,33.00631,0.00002,0.0161209,0.0007801
K00280.01,KOI-280,Kepler-1655 b,2100392428275714688       ,11.872891,0.000006,0.019791,0.0002934
K03168.01,KOI-3168,KOI-3168.01,2100416823690394624       ,56.348109,0.000022,0.0068121,0.0006266
K00161.01,KOI-161,Kepler-475 b,2100597143598879616       ,3.105507,0.000001,0.0290793,0.0004636
K00834.02,KOI-834,Kepler-238 d,2100624562669914240       ,13.233546,0.000019,0.0197413,0.0005424
K00834.03,KOI-834,Kepler-238 c,2100624562669914240       ,6.155574,0.00001,0.0144034,0.000473
K00834.04,KOI-834,Kepler-238 b,2100624562669914240       ,2.090815,0.000006,0.0094475,0.0004878
K00834.05,KOI-834,Kepler-238 f,2100624562669914240       ,50.447315,0.00002,0.0203404,0.0008933
K00304.01,KOI-304,Kepler-518 b,2100906140725803392       ,8.512033,0.000004,0.0247432,0.0003362
K00123.01,KOI-123,Kepler-109 b,2101175933393051008       ,6.481639,0.000003,0.0164629,0.0002406
K00123.02,KOI-123,Kepler-109 c,2101175933393051008       ,21.222602,0.000013,0.0179728,0.0001798
K00829.02,KOI-829,Kepler-53 d,2101188990094347648       ,9.751929,0.000019,0.0192496,0.0009591
K01805.01,KOI-1805,Kepler-319 c,2101230049979183232       ,6.941362,0.000005,0.0309433,0.000589
K01805.02,KOI-1805,Kepler-319 d,2101230049979183232       ,31.782112,0.000018,0.023613,0.0005929
K01805.03,KOI-1805,Kepler-319 b,2101230049979183232       ,4.36275,0.000004,0.0174442,0.0003883
K00108.01,KOI-108,Kepler-103 b,2101243789577188736       ,15.965333,0.000013,0.0220533,0.0002473
K00282.02,KOI-282,Kepler-130 A b,2101305259145506816       ,8.457451,0.000012,0.00844,0.0003192
K00282.03,KOI-282,Kepler-130 A d,2101305259145506816       ,87.517436,0.00002,0.0161515,0.0044995
K00176.01,KOI-176,Kepler-483 b,2101719263935952768       ,30.229106,0.000019,0.0195193,0.0005701
K00041.02,KOI-41,Kepler-100 b,2101733244046205568       ,6.887062,0.000007,0.0082278,0.0001469
K00041.03,KOI-41,Kepler-100 d,2101733244046205568       ,35.333093,0.000019,0.0103546,0.0002224
K00041.01,KOI-41,Kepler-100 c,2101733244046205568       ,12.815893,0.000008,0.0137932,0.000168
K00869.01,KOI-869,Kepler-245 b,2101768089124657664       ,7.49017,0.000007,0.0308828,0.0006549
K00869.03,KOI-869,Kepler-245 c,2101768089124657664       ,17.460864,0.000016,0.0285918,0.0014273
K00869.04,KOI-869,Kepler-245 e,2101768089124657664       ,3.219823,0.000005,0.0160162,0.000825
K01127.02,KOI-1127,Kepler-269 c,2101854881822529024       ,8.128107,0.000018,0.0172411,0.0022512
K01127.03,KOI-1127,KOI-1127.03,2101854881822529024       ,2.836704,0.000016,0.0120963,0.001456
K00665.01,KOI-665,Kepler-207 d,2101898759208960640       ,5.868083,0.000009,0.0202096,0.0003987
K00665.02,KOI-665,Kepler-207 b,2101898759208960640       ,1.611895,0.000005,0.0095698,0.0003769
K00665.03,KOI-665,Kepler-207 c,2101898759208960640       ,3.071542,0.000012,0.0081308,0.0004396
K00672.01,KOI-672,Kepler-209 b,2101964558106974848       ,16.087861,0.000017,0.0250806,0.0008616
K00408.01,KOI-408,Kepler-150 c,2102063136195478656       ,7.381981,0.000007,0.0355103,0.0005299
K00408.02,KOI-408,Kepler-150 d,2102063136195478656       ,12.560935,0.000013,0.0275049,0.0005639
K00408.03,KOI-408,Kepler-150 e,2102063136195478656       ,30.826486,0.000019,0.0273259,0.0007103
K00408.04,KOI-408,Kepler-150 b,2102063136195478656       ,3.428057,0.00001,0.0132748,0.0005687
K01567.01,KOI-1567,Kepler-306 c,2102067396802935680       ,7.240222,0.000013,0.0267876,0.0011626
K01567.02,KOI-1567,Kepler-306 b,2102067396802935680       ,4.64622,0.000013,0.0176042,0.0011532
K01567.03,KOI-1567,Kepler-306 d,2102067396802935680       ,17.326689,0.00002,0.0244408,0.0012651
K01567.04,KOI-1567,Kepler-306 e,2102067396802935680       ,44.841224,0.000021,0.0294356,0.0015662
K00283.01,KOI-283,Kepler-131 b,2102110174677569664       ,16.091981,0.000009,0.0212462,0.0003783
K00085.02,KOI-85,Kepler-65 b,2102119176929154304       ,2.154911,0.000001,0.0092337,8.55E-05
K00085.03,KOI-85,Kepler-65 d,2102119176929154304       ,8.131227,0.000005,0.0101687,0.0001028
K00085.01,KOI-85,Kepler-65 c,2102119176929154304       ,5.859939,0.000001,0.0168953,0.0001023
K00285.03,KOI-285,Kepler-92 d,2102224661326132864       ,49.356885,0.000019,0.0109187,0.0003911
K00285.02,KOI-285,Kepler-92 c,2102224661326132864       ,26.7232,0.000019,0.0130817,0.0002597
K00285.01,KOI-285,Kepler-92 b,2102224661326132864       ,13.748833,0.000015,0.0197765,0.0002645
K02086.01,KOI-2086,Kepler-60 b,2102316985943863424       ,7.132954,0.000009,0.0128329,0.0004031
K02086.03,KOI-2086,Kepler-60 d,2102316985943863424       ,11.898452,0.000022,0.0152232,0.0014968
K00111.01,KOI-111,Kepler-104 A b,2102454253097554304       ,11.427551,0.000005,0.0208727,0.0002431
K00111.02,KOI-111,Kepler-104 A c,2102454253097554304       ,23.66835,0.000013,0.0199257,0.0002581
K00111.03,KOI-111,Kepler-104 A d,2102454253097554304       ,51.755294,0.000018,0.0231631,0.000309
K00864.01,KOI-864,Kepler-244 b,2102469921138142208       ,4.311781,0.000004,0.0307689,0.0006088
K00864.02,KOI-864,Kepler-244 d,2102469921138142208       ,20.050393,0.000018,0.025065,0.0007008
K00864.03,KOI-864,Kepler-244 c,2102469921138142208       ,9.767345,0.000014,0.0273272,0.0016539
K00070.01,KOI-70,Kepler-20 A c,2102548708017562112       ,10.854089,0.000003,0.0290471,0.0001932
K00070.02,KOI-70,Kepler-20 A b,2102548708017562112       ,3.696115,0.000001,0.0182169,0.0002168
K00070.03,KOI-70,Kepler-20 A d,2102548708017562112       ,77.611598,0.000019,0.0262888,0.0003397
K00070.05,KOI-70,Kepler-20 A f,2102548708017562112       ,19.577627,0.00002,0.0091348,0.000356
