source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2051950454223150720,6121.6646,6062.7183,6173.0146,-0.1039,-0.1519,-0.0571,Gaia DR3 2051950454223150720,292.4797002723272,38.51490162207004,0.5035,-0.5815,-1.5586,0,2016,7.105427357601002E-15
2052136821446989568,5795.041,5757.4106,5829.6074,-0.2815,-0.3197,-0.2463,Gaia DR3 2052136821446989568,294.94983780833184,38.60518708426104,0.8427,-1.7455,2.8364,-22.8402,2016,0
2052139123549626240,5332.886,5301.1665,5366.2246,-0.618,-0.656,-0.5791,Gaia DR3 2052139123549626240,295.16720609289814,38.637038263047685,0.5923,-2.3441,-5.1866,0,2016,0
2052168466766597120,6133.7817,6127.165,6140.014,-7.00E-04,-0.0066,0.0052,Gaia DR3 2052168466766597120,294.14965216606987,38.45820522181965,0.9193,-3.9313,-12.901,-17.8943,2016,7.105427357601002E-15
2052185062520374272,5707.1704,5686.036,5733.2065,-0.2861,-0.3076,-0.2573,Gaia DR3 2052185062520374272,294.11076292893904,38.71022197782799,1.3801,-0.701,-1.3543,13.5641,2016,0
2052304325169514880,5646.075,5616.336,5696.0244,-0.4288,-0.4634,-0.3657,Gaia DR3 2052304325169514880,293.5681984074227,39.036312444161155,0.8981,7.9459,1.0747,0,2016,0
2052392835854583936,4660.2617,4649.0874,4672.1064,0.224,0.2028,0.2433,Gaia DR3 2052392835854583936,293.7439215036292,38.93922024895193,2.0102,-4.6961,-10.6591,-36.3349,2016,4.4213556486761307E-14
2052528625536778624,4968.373,4961.123,4976.554,-0.021,-0.03,-0.0106,Gaia DR3 2052528625536778624,291.3647326109745,37.609241060544655,3.1464,-4.1757,14.7646,-24.4007,2016,7.105427357601002E-15
2052688467040906624,5875.504,5832.9014,5934.301,0.1233,0.0808,0.1939,Gaia DR3 2052688467040906624,291.6535383542165,38.49466000176565,0.5474,2.7187,2.2543,0,2016,4.4489421052311296E-14
2052747119115620352,5657.4126,5652.8765,5677.8325,-0.2088,-0.2127,-0.1941,Gaia DR3 2052747119115620352,291.41812236713093,38.672311565036644,10.4148,-28.6715,-5.722,27.2379,2016,0
2052823535171095296,6017.2056,5995.993,6039.8364,-0.0485,-0.0711,-0.0252,Gaia DR3 2052823535171095296,290.4132616970433,38.34372806856851,0.8312,-2.1531,-1.8216,0,2016,4.458247118621589E-14
2052826318309391104,4780.2383,4700.096,4793.5566,0.6826,0.5421,0.7003,Gaia DR3 2052826318309391104,290.5485094,38.49524035400191,2.3495,-3.7256,-8.2007,-10.0447,2016,7.105427357601002E-15
2052975370856687744,5593.3574,5579.991,5633.239,-0.033,-0.0485,0.0156,Gaia DR3 2052975370856687744,291.5569550589651,39.22729213462925,1.4641,-2.0365,-0.827,-9.0239,2016,0
2053070616052194304,5787.1567,5779.949,5794.303,-0.2818,-0.2895,-0.274,Gaia DR3 2053070616052194304,291.11186422759204,39.94902379795604,0.9446,-2.8094,-7.0857,19.5487,2016,0
2053546910744629504,5238.389,5223.382,5257.2793,0.0042,-0.0138,0.0248,Gaia DR3 2053546910744629504,293.1234499269855,40.93480138893501,1.4547,3.6126,6.2154,-37.913,2016,4.2942681430071E-14
2053552270863859712,6642.582,6627.149,6658.35,-0.2624,-0.2765,-0.248,Gaia DR3 2053552270863859712,293.08461132049683,41.13540392256028,0.6592,-1.0709,-6.6624,2.3653,2016,0
2053562475706063744,4128.3594,4119.8735,4148.6772,0.3746,0.3521,0.4349,Gaia DR3 2053562475706063744,292.87293008863423,41.064169714397394,2.5984,4.6455,-21.5893,0,2016,4.28584791495916E-14
