KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00718.01,KOI-718,Kepler-219 b,2127771917075703424,0.018179,0.0003,0.000248
K01598.02,KOI-1598,Kepler-310 d,2127798442794047104,0.025516,0.002786,0.002718
K01598.01,KOI-1598,Kepler-310 c,2127798442794047104,0.035741,0.000685,0.004381
K01598.03,KOI-1598,Kepler-310 b,2127798442794047104,0.012991,0.000365,0.000883
K01929.01,KOI-1929,Kepler-337 c,2127851116271982848,0.011413,0.001423,0.000565
K01929.02,KOI-1929,Kepler-337 b,2127851116271982848,0.008382,0.000192,0.000204
K00935.04,KOI-935,,2128013019361703936,0.013782,0.000671,0.000428
K00708.01,KOI-708,Kepler-216 c,2128067720065692672,0.022193,0.000409,0.000186
K00708.02,KOI-708,Kepler-216 b,2128067720065692672,0.016979,0.002022,0.000925
K01835.03,KOI-1835,Kepler-326 d,2128098197152438144,0.013944,0.000702,0.000244
K01835.01,KOI-1835,Kepler-326 c,2128098197152438144,0.016019,0.000538,0.000228
K01835.02,KOI-1835,Kepler-326 b,2128098197152438144,0.014652,0.000463,0.000261
K01955.01,KOI-1955,Kepler-342 b,2128298617506651904,0.014124,0.000295,0.000227
K00749.03,KOI-749,Kepler-226 d,2128504397979254528,0.013557,0.000732,0.000679
K00749.01,KOI-749,Kepler-226 c,2128504397979254528,0.03072,0.000959,0.003343
K00749.02,KOI-749,Kepler-226 b,2128504397979254528,0.018026,0.000718,0.000372
K00343.03,KOI-343,Kepler-142 d,2128724678262662144,0.010555,0.000757,0.00036
K00343.01,KOI-343,Kepler-142 c,2128724678262662144,0.020461,0.000264,9.90E-05
K00343.02,KOI-343,Kepler-142 b,2128724678262662144,0.014564,0.000949,0.000365
K01931.02,KOI-1931,Kepler-339 d,2128911251641171200,0.013167,0.000537,0.000441
K01931.03,KOI-1931,Kepler-339 c,2128911251641171200,0.013364,0.000579,0.000341
K01931.01,KOI-1931,Kepler-339 b,2128911251641171200,0.016512,0.003795,0.000927
K00124.02,KOI-124,Kepler-110 c,2128925579652377472,0.017582,0.000362,0.0002
