source_id,parallax,parallax_error,phot_g_mean_mag,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2076970047474270208,2.106923778357414,0.008604879,12.180761,4.2173,4.2146,4.2198,Gaia DR3 2076970047474270208,297.33307198708445,41.89111872,2.1069,2.0633,1.3368,-18.9105,2016,4.2907511227313006E-14
2077140987172577408,0.9198959063526787,0.028580222,15.928862,4.4841,4.4692,4.4992,Gaia DR3 2077140987172577408,295.76619923392514,42.42428190294317,0.9199,7.142,-2.1757,0,2016,4.196007839351286E-14
2077540827141811200,3.7265662332099567,0.009409878,12.513983,4.501,4.4912,4.511,Gaia DR3 2077540827141811200,294.6741519737311,42.07560443416187,3.7266,6.8382,5.6128,-21.0607,2016,0
2077556465126659456,0.5454747863467169,0.033844486,14.8080435,4.1692,4.1452,4.192,Gaia DR3 2077556465126659456,294.2809672887076,42.29092909934029,0.5455,-3.127,-3.0854,0,2016,0
2077598384004774912,1.2698341110368738,0.1087685,12.756987,3.8651,3.8598,3.8749,Gaia DR3 2077598384004774912,293.1802896091382,41.61774019118519,1.2698,-4.1167,-3.9984,20.4838,2016,0
2077726678964445696,,,16.14506,,,,Gaia DR3 2077726678964445696,293.56636962296346,42.13258072163217,0,0,0,0,2016,7.105427357601002E-15
2077750803804146176,1.2860727063478359,0.01025985,13.525065,4.3619,4.3019,4.4085,Gaia DR3 2077750803804146176,293.8901979518071,42.52794003154197,1.2861,0.351,-8.794,-5.3476,2016,0
2077961463362645632,1.083066947,0.030590922,15.841413,4.5477,4.5342,4.5589,Gaia DR3 2077961463362645632,294.90967283501766,42.93519730366907,1.0831,-5.4252,-10.0291,0,2016,0
2077994272606400512,3.560965468619232,0.008993224,12.533123,4.4762,4.4721,4.4805,Gaia DR3 2077994272606400512,295.57423163367633,42.80642512218651,3.561,8.6866,-2.4888,-4.6634,2016,4.1703382729356886E-14
2078000289864478976,1.644923661692582,0.024825176,15.49125,4.6018,4.5947,4.6119,Gaia DR3 2078000289864478976,295.82546479917806,42.94337104374665,1.6449,-7.6195,-4.056,0,2016,4.2213237979368594E-14
2078195212660287616,0.7011016698192942,0.023223693,15.478404,4.3183,4.1995,4.3531,Gaia DR3 2078195212660287616,294.3169295007358,43.62924127926852,0.7011,-6.2667,-16.4285,0,2016,7.105427357601002E-15
2078272831307891456,1.0380133394037787,0.011509687,13.677422,4.1835,4.1673,4.2148,Gaia DR3 2078272831307891456,294.74205999574855,43.536783554851084,1.038,-2.6158,-4.9096,-10.2232,2016,0
2078286197246582016,1.9091084722648533,0.01828253,14.53355,4.5337,4.5264,4.5403,Gaia DR3 2078286197246582016,294.6678991900493,43.85320856910302,1.9091,-15.0071,-13.0052,-2.6708,2016,7.105427357601002E-15
2078515170549178880,1.3763414763307542,0.012882695,13.952133,4.3889,4.3832,4.3953,Gaia DR3 2078515170549178880,297.4653359712291,42.88285161862764,1.3763,4.815,-0.1903,-18.2112,2016,7.105427357601002E-15
2078648211455026432,1.702010578638477,0.015718995,14.491433,4.4976,4.4841,4.5049,Gaia DR3 2078648211455026432,297.72422409630224,43.52727457583185,1.702,-8.1799,-35.9335,-27.5145,2016,0
2078697552035948800,0.9975513777855842,0.014012699,14.010237,4.2493,4.2288,4.2596,Gaia DR3 2078697552035948800,296.9985852389031,42.78196345658958,0.9976,-0.3732,1.1257,-17.9452,2016,0
2078722600285671936,1.9408749626307207,0.011609858,13.754966,4.4537,4.4493,4.458,Gaia DR3 2078722600285671936,296.9811403763854,43.209700730072086,1.9409,22.6251,-12.8178,-85.2146,2016,4.143048025312983E-14
2078832551450444032,1.1123214781649637,0.020696418,15.204731,4.5974,4.5568,4.6088,Gaia DR3 2078832551450444032,296.56621648367974,44.105805826810695,1.1123,-3.2,-13.6183,0,2016,7.105427357601002E-15
2078996825361036160,2.1216349415487006,0.3568118,12.335877,,,,Gaia DR3 2078996825361036160,298.6738127630586,43.79550148649674,2.1216,2.9293,7.917,-16.1666,2016,0
2079005651508492032,1.185930468656028,0.012905552,12.881743,4.1476,4.1396,4.1555,Gaia DR3 2079005651508492032,298.81637988955526,43.99801974792027,1.1859,-1.0542,-3.6398,14.6673,2016,7.105427357601002E-15
2079192121810035840,2.533610748,0.010331633,12.852747,4.332,4.3291,4.3349,Gaia DR3 2079192121810035840,298.93681583760167,44.85786285,2.5336,-35.3739,-10.9651,-57.1445,2016,4.272647030272741E-14
2079295583282164992,2.291610923352638,0.011829997,13.526981,4.4602,4.4548,4.4692,Gaia DR3 2079295583282164992,298.0794444750809,44.74624513254368,2.2916,-1.4364,-20.3407,-16.8319,2016,4.280006717610229E-14
2079368391569401600,1.6111368918460287,0.010702549,13.380967,4.249,4.2419,4.2574,Gaia DR3 2079368391569401600,297.7119319948975,45.26198669424677,1.6111,10.7043,12.4527,-57.7114,2016,0
2079695496278608896,3.5042593577791825,0.010124171,11.477572,4.2458,4.2234,4.2565,Gaia DR3 2079695496278608896,296.29067722028293,44.42322787879513,3.5043,19.5375,-5.3911,6.0967,2016,0
2079807646464016256,1.1279448537009962,0.02678596,15.801282,4.5082,4.4934,4.5224,Gaia DR3 2079807646464016256,295.9049785301713,45.405429512866995,1.1279,-4.6399,-0.2254,0,2016,4.053653842887861E-14
2079880695265507328,1.865978167664368,0.011340113,13.543123,4.3364,4.331,4.3432,Gaia DR3 2079880695265507328,295.09024061889437,45.081102704345824,1.866,-1.1875,-12.7613,-11.1508,2016,0
2079885608708649344,2.037834148269213,0.011105446,13.544186,4.4377,4.4345,4.4409,Gaia DR3 2079885608708649344,294.97353226596476,45.213687190554516,2.0378,4.9203,3.3235,24.0249,2016,0
2080246282881778048,1.2722117495683831,0.023001201,15.411413,4.5193,4.5099,4.5277,Gaia DR3 2080246282881778048,297.3160000066129,46.02326425905117,1.2722,3.1895,0.2042,0,2016,0
2080266967444876032,0.5866082731025986,0.01190051,13.895833,,,,Gaia DR3 2080266967444876032,297.0454031453664,46.32866412142783,0.5866,-2.9286,-8.474,2.2615,2016,7.105427357601002E-15
2080271674728481280,4.122373338400581,0.011795661,11.817324,4.3862,4.3843,4.3882,Gaia DR3 2080271674728481280,297.14879368877695,46.296924478058685,4.1224,-2.3599,-1.4291,-19.211,2016,7.105427357601002E-15
2080287892525359872,3.095978946908092,0.027561706,15.795283,,,,Gaia DR3 2080287892525359872,297.8423044790651,46.574362212838714,3.096,-13.7624,19.5864,0,2016,3.9074879957204923E-14
2080296757338392576,0.6579402155358904,0.022963844,15.454196,4.4054,4.3897,4.4206,Gaia DR3 2080296757338392576,297.48082476446075,46.58913618233233,0.6579,-2.553,-8.1821,0,2016,0
2080344586094498432,2.6148289680825743,0.0132995,13.73651,4.5478,4.544,4.5516,Gaia DR3 2080344586094498432,296.6547471644761,46.835223853798176,2.6148,-2.653,-2.2361,3.9435,2016,0
2080386917291928832,4.713511844863236,0.010219267,9.522967,3.9839,3.9823,3.9855,Gaia DR3 2080386917291928832,295.8028761596735,45.98796258161476,4.7135,21.3778,-26.2903,-20.5487,2016,0
2080452613110460928,1.4932200972780953,0.011899165,13.894723,4.3792,4.3712,4.3846,Gaia DR3 2080452613110460928,295.4128800764224,46.26658303787401,1.4932,8.1293,20.8881,-55.3162,2016,0
2080466185207274880,1.0619283936351143,0.016891716,14.850239,4.4428,4.4293,4.4685,Gaia DR3 2080466185207274880,295.34272992767865,46.60221278276875,1.0619,-0.4819,-4.5433,0,2016,3.905480808314234E-14
2080562667352233728,2.170140029604285,0.02166779,13.578962,4.4698,4.4542,4.4809,Gaia DR3 2080562667352233728,296.4960476570407,47.182782264710966,2.1701,-8.0919,-17.965,-4.7723,2016,7.105427357601002E-15
2080605823183999616,0.7489012231684341,0.01029757,13.251771,3.7656,3.7418,3.7865,Gaia DR3 2080605823183999616,295.9206668285653,47.44861626781819,0.7489,2.6534,-1.0674,0.171,2016,7.105427357601002E-15
2082074942519913344,2.2598194741395794,0.014137193,12.830316,4.3498,4.3462,4.3531,Gaia DR3 2082074942519913344,300.86400761203623,44.33754955375781,2.2598,7.9753,-0.8493,-56.5123,2016,0
