KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K01557.01,0.65,0.02,0.021,0.737,0.013,0.005,4843,60,60,0.03,0.04,12.626,0,0,0,0,0,0,0,0,0,0,0,0,1,1.036,1.382,1,2.34297,0.0634864,0.5497514,0.0799255,0.1191841,0.0932605
K01563.01,0.771,0.032,0.033,0.84,0.024,0.022,5080,60,60,0.09,0.04,13.702,0,0,0,0,0,0,0,0,0,0,0,0,3.236,2.608,3.949,1,1.7818224,0.1083027,0.6789891,0.1285522,0.3176511,0.158548
K01567.01,0.769,0.029,0.03,0.75,0.018,0.024,4908,60,60,-0.13,0.04,13.503,0,0,0,0,0,0,0,0,0,0,0,0,9.772,2.475,5.85,1,1.858139,0.0981919,0.6057099,0.1476403,0.2130395,0.1351579
K01598.01,0.839,0.022,0.022,0.854,0.032,0.034,5451,60,60,-0.12,0.04,12.626,0,0,0,0,0,0,0,0,0,0,0,0,5.888,2.576,4.61,1.0006,1.4940912,0.1080525,0.4994641,0.1241679,0.2321828,0.1386782
K01621.01,1.953,0.049,0.051,1.224,0.028,0.114,6080,60,60,0.01,0.04,10.511,1.93,0.04,0.04,1.22,0.08,0.08,6081,75,75,-0.03,0.1,11.855,4.467,0.309,1.44,1,0.1704243,0.0141999,0.3393847,0.1503158,0.2324842,0.142646
K01692.01,0.876,0.02,0.021,0.99,0.015,0.014,5440,60,60,0.38,0.04,10.778,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0.81,0.9,1.0003,1.4116772,0.0302289,0.4431009,0.096224,0.1551631,0.1091781
K01781.02,0.738,0.019,0.02,0.831,0.021,0.005,4961,60,60,0.21,0.04,10.062,0,0,0,0,0,0,0,0,0,0,0,0,0.977,1.373,1.125,1.0143,1.9504277,0.0530469,0.5399025,0.0636855,0.0954576,0.0745583
K01805.01,0.84,0.021,0.021,0.933,0.016,0.012,5599,60,60,0.06,0.04,12.208,0,0,0,0,0,0,0,0,0,0,0,0,1.072,0.839,1.258,1,1.5360653,0.0395287,0.4040103,0.1207611,0.197573,0.1160473
K01832.01,0.81,0.025,0.026,0.914,0.016,0.014,5541,60,60,0.02,0.04,13.351,0,0,0,0,0,0,0,0,0,0,0,0,0.933,0.817,0.967,1,1.6037942,0.0494816,0.4033469,0.1488769,0.2026327,0.1337007
K01835.01,1.089,0.035,0.036,0.91,0.01,0.011,5184,60,60,0.21,0.04,11.673,0,0,0,0,0,0,0,0,0,0,0,0,13.183,0.304,0.911,1.4072,0.8181836,0.0435549,0.4330312,0.1112407,0.1512653,0.1058165
