designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2103452266056715392,6033.1323,2.6758,4.9502,-0.1179,0.0055,0.0054,Gaia DR3 2103452266056715392,284.63518880288655,40.71982920386645,4.3319,1.3193,-2.4342,-12.0921,2016,0
Gaia DR3 2103788854053938816,4847.324,11.753,12.8943,0.1021,0.0161,0.0167,Gaia DR3 2103788854053938816,285.9999212956392,40.91938370308377,2.4165,5.0143,10.6025,-38.9865,2016,7.105427357601002E-15
Gaia DR3 2104094071610116608,5069.1353,11.3443,11.4087,-0.0471,0.0114,0.0116,Gaia DR3 2104094071610116608,284.96850713006694,42.07911920642599,2.1906,-3.0016,-15.651,21.7898,2016,0
Gaia DR3 2104098950692667264,5306.1978,16.2823,15.2685,0.1505,0.0163,0.019,Gaia DR3 2104098950692667264,284.52119791922325,41.62965784747268,1.3413,2.4569,12.1645,-38.7561,2016,4.2487859226438E-14
Gaia DR3 2104344141784539264,,,,,,,Gaia DR3 2104344141784539264,282.97906230045015,40.78442079700303,1.8151,16.336,14.95,-16.273,2016,7.105427357601002E-15
Gaia DR3 2104376405579347968,4653.602,9.7543,7.906,-0.1486,0.0102,0.0103,Gaia DR3 2104376405579347968,282.9734893096095,41.32179226733138,3.5161,10.4198,-49.2005,-7.2265,2016,7.105427357601002E-15
Gaia DR3 2104466153215402624,5493.599,26.9706,20.1466,0.0151,0.0224,0.0187,Gaia DR3 2104466153215402624,283.1920769795168,41.30541886105221,1.3099,-4.8885,12.0181,-71.3539,2016,7.105427357601002E-15
Gaia DR3 2104466256290759936,,,,,,,Gaia DR3 2104466256290759936,283.2355590892423,41.343051395608086,2.6281,-21.1002,-0.7806,-28.0432,2016,0
Gaia DR3 2104506319750394624,5330.15,16.741,22.232,0.1319,0.0202,0.021,Gaia DR3 2104506319750394624,283.36840944228095,41.82183959437288,1.1816,0.8543,4.4597,-15.827,2016,0
Gaia DR3 2104847370214740352,5242.6987,7.6877,11.1733,0.0496,0.0085,0.0113,Gaia DR3 2104847370214740352,282.1355902789756,43.03919833552501,3.3165,14.4802,23.5294,-30.0713,2016,7.105427357601002E-15
Gaia DR3 2105135854577044480,5824.924,1.509,1.8167,-0.136,0.0048,0.0048,Gaia DR3 2105135854577044480,283.37488947361595,43.788374906919074,3.6232,11.3449,29.8385,-33.4799,2016,0
Gaia DR3 2105362903731391744,5486.0767,4.1067,7.5918,0.2758,0.0053,0.0065,Gaia DR3 2105362903731391744,282.3919461621286,43.889418869144784,2.5495,5.4563,16.2752,-26.9122,2016,7.105427357601002E-15
Gaia DR3 2105414310196331264,,,,,,,Gaia DR3 2105414310196331264,282.37754026606484,44.694568560192444,0.9303,2.7925,-3.0114,-51.2747,2016,0
Gaia DR3 2105435544515167232,5086.6694,12.8094,12.4561,-0.1458,0.013,0.0118,Gaia DR3 2105435544515167232,286.8653803125458,41.98895318398473,2.2461,-12.3776,-28.1306,-6.2886,2016,4.2843536595146686E-14
Gaia DR3 2105535462635217792,5760.8633,10.8473,13.3613,-0.1614,0.0142,0.0143,Gaia DR3 2105535462635217792,285.7994928938535,42.81174163,0.6852,6.513,-7.2764,0,2016,7.105427357601002E-15
Gaia DR3 2105618029085927680,5330.454,8.3217,7.936,-0.0302,0.0091,0.009,Gaia DR3 2105618029085927680,287.2954010039887,43.279867524725944,1.7873,-2.6269,-1.2041,-12.6445,2016,0
Gaia DR3 2105620159389754624,6311.2393,22.2703,42.0697,-0.2121,0.0172,0.0331,Gaia DR3 2105620159389754624,287.34567144104676,43.378389261930046,3.4026,-12.0278,-0.3932,-11.8882,2016,0
Gaia DR3 2106008493152187392,4751.026,3.8434,6.0023,-0.6365,0.0113,0.0131,Gaia DR3 2106008493152187392,287.4389378949233,43.83200263821952,2.6013,-38.9588,-18.1175,-101.0636,2016,7.105427357601002E-15
Gaia DR3 2106306495162679552,,,,,,,Gaia DR3 2106306495162679552,286.02611182055773,44.782856574727006,1.0799,2.8262,-3.5507,-33.7039,2016,4.096730205450251E-14
Gaia DR3 2106674071344722688,5421.0293,5.2893,9.2153,-0.3159,0.0052,0.0111,Gaia DR3 2106674071344722688,284.0592386,44.51838003138322,15.6253,-60.3963,48.6567,-30.9179,2016,0
Gaia DR3 2106705269988803072,5541.88,20.844,41.0194,0.134,0.0227,0.0527,Gaia DR3 2106705269988803072,284.4824273919462,44.39788729668457,2.2055,-3.8904,-26.5359,-31.652,2016,0
Gaia DR3 2106821925598401152,5449.947,25.482,32.7063,-0.0018,0.028,0.0342,Gaia DR3 2106821925598401152,284.06112235347956,45.50681150277166,3.9291,-0.6825,-7.8796,6.4273,2016,0
Gaia DR3 2107001283431633408,,,,,,,Gaia DR3 2107001283431633408,283.21255717679503,45.349694823151324,3.3209,-25.1203,-31.1413,17.5108,2016,7.105427357601002E-15
Gaia DR3 2107236613280607104,6178.9956,7.5266,11.7241,-0.3594,0.0086,0.0101,Gaia DR3 2107236613280607104,284.55578683877354,46.06388791011217,1.8192,7.5915,10.8269,-31.7213,2016,4.0076058400821584E-14
Gaia DR3 2107243072911617024,5627.6567,25.1694,34.5406,-0.0113,0.0245,0.0572,Gaia DR3 2107243072911617024,284.3942829947417,46.24911055,2.6313,-7.2052,-2.436,-2.1769,2016,0
Gaia DR3 2107266570672734592,6019.33,2.279,4.4034,0.0485,0.0051,0.0052,Gaia DR3 2107266570672734592,285.18994359154334,46.028062380373605,2.8235,-1.4662,20.684,-21.4254,2016,4.010124035222779E-14
Gaia DR3 2107315365800640896,6200.7095,3.8115,6.1572,-0.11,0.0066,0.0074,Gaia DR3 2107315365800640896,285.0775854939143,46.41965646495311,3.3519,-12.973,9.8582,-36.3949,2016,0
Gaia DR3 2107342716152550272,6005.9355,23.7125,34.836,-0.1558,0.0532,0.0782,Gaia DR3 2107342716152550272,284.5936853486546,46.449735287169595,1.6069,-2.5553,-7.7289,-10.3857,2016,7.105427357601002E-15
Gaia DR3 2116862833283266432,5872.4985,1.9885,3.9055,-0.2702,0.0047,0.006,Gaia DR3 2116862833283266432,281.11230612702497,43.22776554,2.0249,-5.9668,-5.2777,-10.4215,2016,0
Gaia DR3 2119196585370036736,6154.762,10.4383,9.8474,-0.3034,0.0089,0.0093,Gaia DR3 2119196585370036736,281.46178825059314,46.78992938866643,1.9008,12.799,8.4894,-27.1555,2016,7.105427357601002E-15
Gaia DR3 2119583201145735808,4800.82,3.017,3.8255,0.0025,0.0061,0.0061,Gaia DR3 2119583201145735808,281.4824647486216,47.20782027646408,9.2517,-41.0442,-43.2667,-28.5143,2016,7.105427357601002E-15
Gaia DR3 2119602202081351168,4598.9097,18.1167,26.5859,0.372,0.0544,0.098,Gaia DR3 2119602202081351168,281.1947304731251,47.49726403867885,5.2476,-5.5259,25.0661,-51.7192,2016,0
Gaia DR3 2119814820141727232,5096.075,22.382,20.8684,-0.252,0.0257,0.0215,Gaia DR3 2119814820141727232,280.6909168,47.809668054798834,1.7765,-15.5766,-15.5023,-23.1181,2016,0
Gaia DR3 2125713940547834496,5413.469,7.317,6.441,0.0334,0.0076,0.0061,Gaia DR3 2125713940547834496,292.38858243628977,42.233277152971844,5.6844,2.0019,3.8649,-28.9331,2016,4.208768239146667E-14
Gaia DR3 2125790322246812672,4548.025,10.4967,10.466,0.2262,0.0276,0.0281,Gaia DR3 2125790322246812672,291.6693450104364,42.590744901465115,2.0309,6.8341,5.8931,0,2016,0
Gaia DR3 2125831210335846016,5473.9526,7.8586,7.7884,-0.2747,0.0098,0.0083,Gaia DR3 2125831210335846016,291.9518778670187,43.074613999159475,1.6231,-2.8984,-22.6955,-46.4477,2016,0
Gaia DR3 2125850623586710400,5238.5815,23.1538,25.4849,-0.0092,0.0244,0.027,Gaia DR3 2125850623586710400,292.8733695924823,42.96615915790385,1.0765,0.2397,6.583,0,2016,0
Gaia DR3 2126237131982289280,5993.311,49.01,96.4702,-0.1939,0.031,0.0566,Gaia DR3 2126237131982289280,291.3877392676598,44.5290448,1.7925,-2.657,-11.9381,-25.8161,2016,0
Gaia DR3 2126266823097360000,4977.6445,12.6795,13.9065,0.0114,0.0133,0.0164,Gaia DR3 2126266823097360000,293.06131355140434,43.581357808023036,1.3208,-1.2208,0.5456,0,2016,0
Gaia DR3 2126418658780855296,5158.5312,24.2432,13.7958,0.0676,0.0346,0.0163,Gaia DR3 2126418658780855296,293.6413154355762,44.65706995561541,1.5232,4.2094,5.8418,-33.2683,2016,0
Gaia DR3 2126432677554353280,5514.2754,4.6177,8.8826,-0.4071,0.0089,0.01,Gaia DR3 2126432677554353280,293.3722096589809,44.78518152719211,1.4948,-6.4668,2.1957,-9.2661,2016,0
Gaia DR3 2126454633427425664,5279.793,13.579,15.8296,0.0372,0.0158,0.0188,Gaia DR3 2126454633427425664,293.74711152422327,45.10719781,1.572,4.1103,-1.8297,-18.7461,2016,4.0119094793747485E-14
