KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00317.01,Kepler-521 b,22.2081191,1.46e-05,0.0207225,0.0002646,3.6888668700710245,0.10800631961881989,0.1120917894839644,-1,42,1
K00321.01,Kepler-406 b,2.4263048,1.2e-06,0.0125281,0.0001612,1.4567099787115287,0.040170494165161726,0.040170494165161726,-1,409,1
K00323.01,Kepler-523 b,5.8359892,3.7e-06,0.0230575,0.0005478,2.019567819295715,0.067717229,0.067717229,-1,122,1
K00343.01,Kepler-142 c,4.7617056,2.5e-06,0.0207526,0.0003136,2.492243738075602,0.069872509,0.071789538,-1,112,1
K00343.02,Kepler-142 b,2.0241441,1.4e-06,0.0144379,0.0002467,1.7338919396105426,0.050540137,0.05182423,-1,261,1
K00343.03,Kepler-142 d,41.8087659,1.96e-05,0.0118449,0.0004786,1.4224905724165506,0.066573073,0.067234253,-1,12,1
K00351.03,Kepler-90 d,59.7370338,1.98e-05,0.0216712,0.000643,2.8011217761402305,0.10925359802286012,0.11080249919198212,-1,7,1
K00351.04,Kepler-90 e,91.9404607,1.96e-05,0.0198068,0.0006755,2.560137823270253,0.10873916410393272,0.11004056989851503,-1,6,1
K00351.05,Kepler-90 c,8.7198167,1.57e-05,0.0108678,0.000485,1.404722915147144,0.072073568,0.072665795,-1,65,1
K00351.06,Kepler-90 b,7.0082841,1.62e-05,0.0098898,0.000583,1.2783110368448285,0.082011212,0.082442852,-1,82,1
K00365.01,Kepler-538 A b,81.7378072,2.03e-05,0.0241374,0.0002797,2.2694908316207023,0.058858353,0.058858353,-1,7,1
K00370.02,Kepler-145 b,22.9506858,1.82e-05,0.0120378,0.0005272,2.4782570796872423,0.11003187862110116,0.1097292982437308,-2,37,1
K00377.03,Kepler-9 d,1.5929574,1.1e-06,0.0148356,0.000381,1.571285216,0.056006067,0.057140106,-1,562,1
K00379.02,KOI-379.02,23.1376624,1.99e-05,0.007157,0.0052003,2.0273729426161395,1.4742590123888675,1.474321844830264,-1,7,0
K00384.01,Kepler-541 b,5.0800675,1.36e-05,0.0140605,0.0005329,3.1992320953105158,0.14683665995996176,0.14858827401625435,-1,31,1
K00386.01,Kepler-146 b,31.1587893,1.87e-05,0.029662,0.0007106,3.303367197347172,0.1154948800160877,0.11787225882680472,-1,6,1
K00386.02,Kepler-146 c,76.7325172,2.03e-05,0.0257895,0.0012929,2.872098589,0.1614971659404345,0.1627904463930816,-1,3,1
K00408.01,Kepler-150 c,7.3819812,6.8e-06,0.0355103,0.0005299,3.3426878000862326,0.11586673708144757,0.11937441280520053,-1,86,1
K00408.02,Kepler-150 d,12.5609351,1.25e-05,0.0275049,0.0005639,2.5891162190291777,0.096846475,0.099369432,-1,51,1
K00408.03,Kepler-150 e,30.8264857,1.94e-05,0.0273259,0.0007103,2.572266428511626,0.10462824712299286,0.10693779534818412,-1,21,1
K00408.04,Kepler-150 b,3.4280574,1e-05,0.0132748,0.0005687,1.2495955260469418,0.066289146,0.06715329,-1,187,1
K00416.01,Kepler-152 b,18.2079573,1.47e-05,0.0382589,0.0005863,3.121510185484705,0.092601893,0.096199273,-1,11,1
K00416.02,Kepler-152 c,88.255355,1.94e-05,0.0355083,0.0011641,2.8970911374672705,0.12015063028164093,0.12256106306949692,-1,2,0
K00435.03,Kepler-154 b,33.0405686,1.96e-05,0.0238126,0.0014626,2.7272615843276213,0.18699888047898888,0.18816774493377814,-1,10,1
K00435.04,Kepler-154 e,3.9327557,5.4e-06,0.0153082,0.0005868,1.753251042943823,0.085858672,0.086907644,-1,93,1
K00435.05,Kepler-154 c,62.3027882,1.98e-05,0.0265827,0.001037,3.0445216615449744,0.1507147184180159,0.1525168994407775,-1,5,1
K00435.06,Kepler-154 f,9.9193457,1.87e-05,0.0123356,0.0007774,1.4127986024051051,0.098900198,0.099493353,-1,37,1
K00440.01,Kepler-156 c,15.9068674,1.83e-05,0.0261369,0.001351,2.272181800224205,0.1318267142237773,0.13314569151316222,-1,10,1
K00440.02,Kepler-156 b,4.9734436,9.8e-06,0.0280884,0.0010611,2.4418332425581286,0.11246686178647712,0.11424721157162308,-1,30,1
K00446.01,Kepler-158 b,16.7091956,1.55e-05,0.0297081,0.000843,2.070648655,0.082792197,0.082792197,-1,35,1
K00446.02,Kepler-158 c,28.5515612,1.81e-05,0.0253938,0.0009264,1.769942803615497,0.081578466,0.081578466,-1,19,1
K00448.01,Kepler-159 b,10.1396201,9.4e-06,0.0331048,0.0005627,2.3832279483858825,0.079674635,0.079674635,-1,70,1
K00456.02,Kepler-160 b,4.3092406,7e-06,0.0144952,0.0006178,1.6522325800473494,0.084904615,0.08579792,-1,129,1
K00464.02,Kepler-561 c,5.3501647,3.7e-06,0.0266052,0.0003454,2.5653668135902543,0.079829189,0.082475456,-1,152,1
K00475.01,Kepler-165 b,8.1808651,1.56e-05,0.0253939,0.0008352,2.044167344152647,0.087115181,0.088902279,-1,19,1
K00475.02,Kepler-165 c,15.312983,1.93e-05,0.029684,0.0009194,2.3895133651714455,0.098340774,0.10050239424410129,-1,11,1
K00481.01,Kepler-166 b,7.6502356,7.3e-06,0.0297301,0.0004976,2.5002384361283143,0.085523034,0.085523034,-1,68,1
K00481.02,Kepler-166 d,1.554003,1.5e-06,0.0188228,0.0003173,1.5829576098148352,0.054239747,0.054239747,-1,339,1
K00481.03,Kepler-166 c,34.2595202,1.79e-05,0.0301925,0.0006176,2.539125296679262,0.091842501,0.091842501,-1,13,1
K00490.01,Kepler-167 A b,4.3931533,4.4e-06,0.0184015,0.0004468,1.4772762629623244,0.053833911,0.053833911,-1,166,1
