ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
4756649415309914240	6147.792	2.2532	102.0248838	-0.0258	0.0061	0.130143037	4.2675	0.0024	0.04	5.697042639	0.011260031	10.077329	0.002767159	0.5	87.13981572099894	-63.98832499
4837286842168217088	6451.811	5.50705	102.1485565	-0.0193	0.00975	0.130365112	4.0967	0.0054	0.04	2.629927792234705	0.014959232	10.898673	0.002768514	0.5	62.616081827455204	-45.89824431
4864759888238232320	5987.569	7.6945	102.2898105	-0.1352	0.0056	0.130120559	3.9946	0.00455	0.04	1.3940721870362118	0.009831481	12.287657	0.002762564	0.5	68.13647917292198	-38.96829648
4895489043507741440	5005.3647	2.4298	102.0289367	-0.0854	0.0062	0.130147762	4.5228	0.0032	0.04	17.423509526979213	0.013680499	9.611574	0.002764423	0.5	64.18399422	-26.76642322
4911563216311083392	5689.305	12.59	102.7740634	0.3336	0.01035	0.130411359	4.3676	0.0058	0.04	6.646325755600435	0.012325988	10.425592	0.002758658	0.5	24.60516274398094	-55.77199769
4917441922731087488	5070.293	8.05535	102.3175873	0.1281	0.01015	0.130395638	4.4055	0.0109	0.04	4.624477328277639	0.08934296	11.858755	0.002832282	0.5	24.167860691355422	-50.65931216
4968289907406396160	5706.2026	64.57615	120.7231508	0.177	0.062	0.144027775	4.1337	0.00855	0.04	3.108184566	0.020190205	11.156964	0.002761959	0.5	33.15402575434929	-35.39091869
497750842338402560	6168.0044	4.84255	102.1148877	-0.2678	0.00265	0.130027007	4.1724	0.00455	0.04	2.981039793484412	0.016947886	11.245597	0.002764909	0.5	77.61288703605616	70.39107862466173
4990044668377961984	5617.147	0.80815	102.0032015	0.0245	0.00275	0.130029083	4.387	0.00335	0.04	2.879521049074457	0.015384106	12.372176	0.002765844	0.5	1.0465749110529816	-47.36063493
4994237247949280000	6454.3584	7.8717	102.3032925	-0.0729	0.00645	0.130159911	4.0741	0.00895	0.04	1.8316395423613672	0.023290355	11.629208	0.002765536	0.5	7.709536286552726	-40.57346264
5019835424832215424	5120.498	0.75185	102.0027709	0.2216	0.00415	0.130066224	4.4851	0.00065	0.04	22.67415482906541	0.016979393	8.6779375	0.002757428	0.5	32.53472597584694	-31.0706516
5057924844082070016	5866.2603	22.579	104.469188	-0.3282	0.01955	0.131461791	4.2012	0.03505	0.04	4.3171267970750415	0.016039092	10.979199	0.002761802	0.5	46.81861224031439	-31.16300473
5065640460769428224	6002.626	7.003	102.2401194	-0.2445	0.0071	0.13019374	3.8612	0.00225	0.04	2.4096741125258574	0.025231501	10.846672	0.002765589	0.5	41.04007915374415	-30.16907957
5086537022856406272	5925.6445	3.94015	102.0760735	0.0745	0.00515	0.13010197	4.3168	0.008	0.04	3.188497648230314	0.032667775	11.584857	0.002773908	0.5	52.818037740923714	-23.81979607
5089851638095503616	6178.663	18.5625	103.6752931	-0.3669	0.01275	0.130623744	4.0045	0.03715	0.04	1.4134283376857253	0.013566798	12.176885	0.002766721	0.5	63.75626615164247	-22.11638917
5175239363214344960	4756.42	1.5483	102.0117505	0.0615	0.0078	0.13023379	4.5474	0.00105	0.04	21.89279824728299	0.019295631	9.484146	0.002781088	0.5	38.27122903475207	-10.3521908
5227928170880093568	5441.074	52.1605	114.5631606	-0.446	0.05475	0.14105872	4.1083	0.01155	0.04	2.578847824	0.009301937	12.0278	0.002758989	0.5	165.31579236268752	-72.35670073
5241964708164136192	5418.634	55.74515	116.2390715	-0.6983	0.0743	0.149734732	4.6022	0.0215	0.04	0.45893950089895064	0.044967618	16.474056	0.002814295	0.5	162.64409163439032	-61.95724716
5242077854771196544	4626.542	15.87715	103.2283095	-0.128	0.0253	0.132439005	4.4937	0.00905	0.04	1.725378618522139	0.025676297	15.429529	0.002797036	0.5	163.1010311258504	-61.44685773
5253607539857229568	6027.7427	24.6287	104.9312769	-0.5162	0.02705	0.132784421	4.1735	0.0334	0.04	0.5831309005903383	0.04046347	15.060881	0.00277733	0.5	160.0598201321813	-62.45553444
5284358990266469760	4526.034	38.20895	108.9216409	0.1973	0.0764	0.150787798	4.6104	0.024	0.04	17.05195432357619	0.009555089	10.579951	0.002791383	0.5	92.93610536374055	-65.82583427
5288681857665822080	6040.2407	8.51665	102.354938	-0.2456	0.0071	0.13019374	4.2626	0.00595	0.04	2.9048293065941877	0.010477224	11.948408	0.00276264	0.5	112.01005758220501	-63.51777727
