# ID	Teff	Teff-err	FeH	FeH-err	Logg	Logg-err	Parallax	Parallax-err	G-Mag	G-Mag-err	RA	DEC
2086505630781210752	5998.838	102.507871	-0.0718	0.130368861	4.1757	0.160021124	2.066421129728593	0.008967074	12.011006	0.01	297.78654689131986	47.88615517731782
2086625752425381632	5767.8916	102.1564902	-0.0595	0.130092313	4.0875	0.160055116	1.9407360088196306	0.009223091	12.45557	0.01	297.02816011456673	48.208601860439686
2086629463276947456	4662.025	102.1765032	-0.4077	0.130252102	4.4919	0.160047524	3.2567927990739096	0.02531415	13.758179	0.01	296.82293514660876	48.10776965361272
2086660283961964416	5510.6377	108.6530788	-0.1024	0.135956022	4.4092	0.160895315	0.6568473530375122	0.024574205	15.692461	0.01	296.2860841929064	48.22463171321441
2086718317558873984	5668.1377	107.0788342	-0.0976	0.132574507	4.1403	0.160495358	1.4712080725760304	0.043110076	12.835647	0.01	297.2778884714354	48.32035477554368
2086940448965828992	5796.333	102.0320828	-0.3604	0.130131558	4.3016	0.160017257	2.1228841928001043	0.008782949	12.605828	0.01	298.2689207800532	48.91673946
2087171453788422528	5520.7876	105.53692	-0.1266	0.132794616	4.4759	0.160350741	6.463748201	0.012372064	11.164304	0.01	297.4865397360923	49.62339632902534
2087250476887856256	4630.379	102.460159	0.1423	0.131653485	4.5741	0.160037191	5.370273754354994	0.012555569	12.840865	0.01	297.2925616939614	49.98175320095022
2099541715513813504	5535.0176	102.0071489	0.1412	0.130035774	4.3069	0.16001582	4.322113432443436	0.011241702	11.436429	0.01	287.47865134467474	38.22908178617382
2099583977992504576	5847.7944	102.5828598	-0.3059	0.130332229	4.2326	0.160687655	1.5579499068945186	0.011763747	13.369694	0.01	287.9754694148187	38.74029915905058
2099605968225288960	5673.763	103.3255414	-0.1583	0.130725141	4.0866	0.16062008	2.130999046318493	0.008953068	12.3519745	0.01	287.3629170481944	38.64973898
2099606483621385216	6164.738	107.2071496	-0.4034	0.135566967	3.8872	0.160515178	9.239368308868082	0.01726815	8.139577	0.01	287.36197234512946	38.714142299228236
2099656472742686848	5543.1426	102.0448565	-0.6867	0.130124902	4.1726	0.160031005	2.6288105619726285	0.008292779	11.915645	0.01	287.65502065279276	39.24416804038301
2099854801450635520	5185.2856	105.70421	0.0139	0.133316175	4.4917	0.160793042	1.1757306495215065	0.021358646	15.355764	0.01	286.0067315	38.00954137062189
2099862910348755712	5499.323	102.7013142	0.1045	0.130557277	4.4643	0.160241817	2.871567435373851	0.01033993	12.85913	0.01	285.6616949336345	37.96456931636411
2099925719951103872	5728.9746	106.5511099	-0.0363	0.134525685	4.4383	0.161819776	1.610109686628089	0.012005667	13.769321	0.01	285.5739908219893	38.400817165116756
2100389610777053056	5972.533	102.9877598	-0.2553	0.130503266	4.0808	0.160122024	1.0686446614765883	0.01057872	13.377445	0.01	286.5831904589055	39.077260626734734
2100392428275714688	5957.8623	102.0051399	-0.5132	0.130103958	4.2815	0.160013132	4.694256473984888	0.011472758	11.014986	0.01	286.6896039	39.21208479812015
2100416823690394624	5951.8306	102.6146269	-0.4201	0.130332229	4.1547	0.160079675	4.4940601042491854	0.012352475	10.454783	0.01	287.31488664764277	39.53832166185773
